framework,task,optimizer,run,step,val_acc,wall_time_s
torch,MNIST_1L,Adam,1,0,0.11697861552238464,0.0964651107788086
torch,MNIST_1L,Adam,1,200,0.9112634062767029,0.36933279037475586
torch,MNIST_1L,Adam,1,400,0.9410094022750854,0.631183385848999
torch,MNIST_1L,Adam,1,600,0.9336564540863037,0.8945503234863281
torch,MNIST_1L,Adam,1,800,0.9530414342880249,1.1567444801330566
torch,MNIST_1L,Adam,1,1000,0.9603943824768066,1.4198615550994873
torch,MNIST_1L,Adam,1,1200,0.9639037847518921,1.6825408935546875
torch,MNIST_1L,Adam,1,1400,0.9622326493263245,1.9444952011108398
torch,MNIST_1L,Adam,1,1600,0.9657419919967651,2.2062103748321533
torch,MNIST_1L,Adam,1,1800,0.9705882668495178,2.485690116882324
torch,MNIST_1L,Adam,1,2000,0.9665775299072266,2.747992992401123
torch,MNIST_1L,Adam,1,2200,0.9684157967567444,3.0106887817382812
torch,MNIST_1L,Adam,1,2400,0.9674131274223328,3.2728915214538574
torch,MNIST_1L,Adam,1,2600,0.9730949401855469,3.5343849658966064
torch,MNIST_1L,Adam,1,2800,0.9667446613311768,3.7967867851257324
torch,MNIST_1L,Adam,1,3000,0.9735962748527527,4.058236360549927
torch,MNIST_1L,Adam,1,3200,0.9699198007583618,4.319916486740112
torch,MNIST_1L,Adam,1,3400,0.9642379879951477,4.599453687667847
torch,MNIST_1L,Adam,1,3600,0.9739304780960083,4.861491680145264
torch,MNIST_1L,Adam,1,3800,0.9707553386688232,5.123434066772461
torch,MNIST_1L,Adam,1,4000,0.9730949401855469,5.385326385498047
torch,MNIST_1L,Adam,1,4200,0.9762700796127319,5.647710561752319
torch,MNIST_1L,Adam,1,4400,0.9759358763694763,5.909842491149902
torch,MNIST_1L,Adam,1,4600,0.9720922708511353,6.172266483306885
torch,MNIST_1L,Adam,1,4800,0.9771056175231934,6.434694290161133
torch,MNIST_1L,Adam,1,5000,0.9780351519584656,6.60861873626709
torch,MNIST_1L,Adam,2,0,0.11112967878580093,0.09087014198303223
torch,MNIST_1L,Adam,2,200,0.9065842628479004,0.36057019233703613
torch,MNIST_1L,Adam,2,400,0.9358289241790771,0.6214869022369385
torch,MNIST_1L,Adam,2,600,0.9485294222831726,0.8833081722259521
torch,MNIST_1L,Adam,2,800,0.9515374302864075,1.1447336673736572
torch,MNIST_1L,Adam,2,1000,0.9555481672286987,1.4069275856018066
torch,MNIST_1L,Adam,2,1200,0.9585561752319336,1.6688201427459717
torch,MNIST_1L,Adam,2,1400,0.9608957171440125,1.9309265613555908
torch,MNIST_1L,Adam,2,1600,0.9583890438079834,2.192223072052002
torch,MNIST_1L,Adam,2,1800,0.9670789241790771,2.465925931930542
torch,MNIST_1L,Adam,2,2000,0.9680815935134888,2.7274844646453857
torch,MNIST_1L,Adam,2,2200,0.9652406573295593,2.98930287361145
torch,MNIST_1L,Adam,2,2400,0.9623997807502747,3.2505340576171875
torch,MNIST_1L,Adam,2,2600,0.9677473306655884,3.512580156326294
torch,MNIST_1L,Adam,2,2800,0.9685829281806946,3.77420711517334
torch,MNIST_1L,Adam,2,3000,0.9699198007583618,4.036285877227783
torch,MNIST_1L,Adam,2,3200,0.9667446613311768,4.297301769256592
torch,MNIST_1L,Adam,2,3400,0.9715909361839294,4.56105637550354
torch,MNIST_1L,Adam,2,3600,0.9745989441871643,4.821692943572998
torch,MNIST_1L,Adam,2,3800,0.9720922708511353,5.083576679229736
torch,MNIST_1L,Adam,2,4000,0.9719251394271851,5.344552040100098
torch,MNIST_1L,Adam,2,4200,0.9649064540863037,5.6070520877838135
torch,MNIST_1L,Adam,2,4400,0.9724264740943909,5.867241621017456
torch,MNIST_1L,Adam,2,4600,0.9729278087615967,6.127790212631226
torch,MNIST_1L,Adam,2,4800,0.9697526693344116,6.3880932331085205
torch,MNIST_1L,Adam,2,5000,0.9775359034538269,6.561655759811401
torch,MNIST_1L,Adam,3,0,0.11196524649858475,0.09087753295898438
torch,MNIST_1L,Adam,3,200,0.9009024500846863,0.35808420181274414
torch,MNIST_1L,Adam,3,400,0.938168466091156,0.6219661235809326
torch,MNIST_1L,Adam,3,600,0.9456885457038879,0.8864758014678955
torch,MNIST_1L,Adam,3,800,0.9550468325614929,1.1496384143829346
torch,MNIST_1L,Adam,3,1000,0.9542112350463867,1.4134268760681152
torch,MNIST_1L,Adam,3,1200,0.9598930478096008,1.6769912242889404
torch,MNIST_1L,Adam,3,1400,0.9617313146591187,1.9407544136047363
torch,MNIST_1L,Adam,3,1600,0.9612299799919128,2.204324722290039
torch,MNIST_1L,Adam,3,1800,0.9597259759902954,2.4705772399902344
torch,MNIST_1L,Adam,3,2000,0.9618983864784241,2.73551082611084
torch,MNIST_1L,Adam,3,2200,0.967580258846283,2.999575614929199
torch,MNIST_1L,Adam,3,2400,0.9684157967567444,3.263274669647217
torch,MNIST_1L,Adam,3,2600,0.9640708565711975,3.5268707275390625
torch,MNIST_1L,Adam,3,2800,0.9634024500846863,3.790569543838501
torch,MNIST_1L,Adam,3,3000,0.9730949401855469,4.0538530349731445
torch,MNIST_1L,Adam,3,3200,0.9677473306655884,4.317712306976318
torch,MNIST_1L,Adam,3,3400,0.9749331474304199,4.584169387817383
torch,MNIST_1L,Adam,3,3600,0.9725936055183411,4.848676443099976
torch,MNIST_1L,Adam,3,3800,0.9754344820976257,5.113181114196777
torch,MNIST_1L,Adam,3,4000,0.9745989441871643,5.376738786697388
torch,MNIST_1L,Adam,3,4200,0.9690842628479004,5.640741348266602
torch,MNIST_1L,Adam,3,4400,0.9740976095199585,5.904684543609619
torch,MNIST_1L,Adam,3,4600,0.9735962748527527,6.168598413467407
torch,MNIST_1L,Adam,3,4800,0.9724264740943909,6.432198524475098
torch,MNIST_1L,Adam,3,5000,0.9798322319984436,6.607160806655884
