
Projection policy gradient (ptorch) for continuous control, with value baseline.

Saved rollout gif -> bipedal_walker_gifs/epoch_0000.gif
/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/bipedal_walker.py:304: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  pol_acc += float(pol); val_acc += float(val); nb += 1
epoch:  41 	 pol:    -0.05 	 val:    29.63 	 clipfrac: 0.27 	 return:  -110.72 	 ep_len:   108.3 	 log_std: -1.000
epoch:  42 	 pol:     0.04 	 val:    27.10 	 clipfrac: 0.28 	 return:  -110.49 	 ep_len:   102.7 	 log_std: -1.000
epoch:  43 	 pol:     0.11 	 val:    32.74 	 clipfrac: 0.28 	 return:  -108.69 	 ep_len:    97.1 	 log_std: -1.000
epoch:  44 	 pol:     0.07 	 val:    28.68 	 clipfrac: 0.35 	 return:  -107.90 	 ep_len:    97.9 	 log_std: -1.000
epoch:  45 	 pol:     0.03 	 val:    25.29 	 clipfrac: 0.30 	 return:  -106.26 	 ep_len:    93.3 	 log_std: -1.000
epoch:  46 	 pol:    -0.01 	 val:    29.34 	 clipfrac: 0.43 	 return:  -107.76 	 ep_len:   108.4 	 log_std: -1.000
epoch:  47 	 pol:     0.06 	 val:    28.63 	 clipfrac: 0.32 	 return:  -105.21 	 ep_len:    88.4 	 log_std: -1.000
epoch:  48 	 pol:     0.07 	 val:    22.28 	 clipfrac: 0.30 	 return:  -105.68 	 ep_len:    89.9 	 log_std: -1.000
epoch:  49 	 pol:    -0.03 	 val:    29.91 	 clipfrac: 0.28 	 return:  -106.06 	 ep_len:    88.4 	 log_std: -1.000
Saved rollout gif -> bipedal_walker_gifs/epoch_0050.gif
epoch:  50 	 pol:    -0.00 	 val:    21.99 	 clipfrac: 0.34 	 return:  -105.84 	 ep_len:    95.4 	 log_std: -1.000
epoch:  51 	 pol:    -0.02 	 val:    24.60 	 clipfrac: 0.30 	 return:  -105.03 	 ep_len:    86.0 	 log_std: -1.000
epoch:  52 	 pol:     0.12 	 val:    39.29 	 clipfrac: 0.39 	 return:  -109.99 	 ep_len:   108.8 	 log_std: -1.000
epoch:  53 	 pol:    -0.04 	 val:    37.31 	 clipfrac: 0.26 	 return:  -115.55 	 ep_len:   133.8 	 log_std: -1.000
epoch:  54 	 pol:     0.01 	 val:    26.35 	 clipfrac: 0.31 	 return:  -112.67 	 ep_len:   129.6 	 log_std: -1.000
epoch:  55 	 pol:     0.04 	 val:    30.16 	 clipfrac: 0.28 	 return:  -111.33 	 ep_len:   128.1 	 log_std: -1.000
epoch:  56 	 pol:    -0.00 	 val:    32.13 	 clipfrac: 0.28 	 return:  -112.82 	 ep_len:   133.4 	 log_std: -1.000
epoch:  57 	 pol:    -0.08 	 val:    38.31 	 clipfrac: 0.32 	 return:  -112.55 	 ep_len:   118.5 	 log_std: -1.000
epoch:  58 	 pol:    -0.06 	 val:    35.60 	 clipfrac: 0.29 	 return:  -116.27 	 ep_len:   141.1 	 log_std: -1.000
epoch:  59 	 pol:    -0.00 	 val:    32.11 	 clipfrac: 0.28 	 return:  -117.26 	 ep_len:   152.8 	 log_std: -1.000
epoch:  60 	 pol:     0.02 	 val:    27.49 	 clipfrac: 0.26 	 return:  -110.68 	 ep_len:   134.4 	 log_std: -1.000
epoch:  61 	 pol:    -0.02 	 val:    29.54 	 clipfrac: 0.29 	 return:  -110.43 	 ep_len:   119.3 	 log_std: -1.000
epoch:  62 	 pol:     0.09 	 val:    31.93 	 clipfrac: 0.27 	 return:  -112.06 	 ep_len:   136.8 	 log_std: -1.000
epoch:  63 	 pol:    -0.06 	 val:    29.68 	 clipfrac: 0.30 	 return:  -112.22 	 ep_len:   135.8 	 log_std: -1.000
epoch:  64 	 pol:     0.03 	 val:    32.32 	 clipfrac: 0.30 	 return:  -114.42 	 ep_len:   141.2 	 log_std: -1.000
epoch:  65 	 pol:     0.10 	 val:    35.73 	 clipfrac: 0.28 	 return:  -113.59 	 ep_len:   138.2 	 log_std: -1.000
epoch:  66 	 pol:    -0.06 	 val:    31.64 	 clipfrac: 0.26 	 return:  -111.74 	 ep_len:   138.3 	 log_std: -1.000
epoch:  67 	 pol:     0.05 	 val:    38.74 	 clipfrac: 0.34 	 return:  -116.63 	 ep_len:   154.3 	 log_std: -1.000
epoch:  68 	 pol:    -0.10 	 val:    29.40 	 clipfrac: 0.30 	 return:  -112.19 	 ep_len:   137.2 	 log_std: -1.000
epoch:  69 	 pol:    -0.08 	 val:    31.18 	 clipfrac: 0.31 	 return:  -115.23 	 ep_len:   172.9 	 log_std: -1.000
epoch:  70 	 pol:    -0.12 	 val:    35.08 	 clipfrac: 0.29 	 return:  -116.09 	 ep_len:   168.0 	 log_std: -1.000
epoch:  71 	 pol:    -0.16 	 val:    37.37 	 clipfrac: 0.30 	 return:  -114.87 	 ep_len:   139.7 	 log_std: -1.000
epoch:  72 	 pol:    -0.05 	 val:    34.41 	 clipfrac: 0.43 	 return:  -113.12 	 ep_len:   179.0 	 log_std: -1.000
epoch:  73 	 pol:    -0.07 	 val:    38.64 	 clipfrac: 0.33 	 return:  -118.51 	 ep_len:   196.0 	 log_std: -1.000
epoch:  74 	 pol:    -0.07 	 val:    41.28 	 clipfrac: 0.29 	 return:  -114.43 	 ep_len:   164.0 	 log_std: -1.000
epoch:  75 	 pol:    -0.08 	 val:    33.85 	 clipfrac: 0.35 	 return:  -117.70 	 ep_len:   290.2 	 log_std: -1.000
epoch:  76 	 pol:    -0.13 	 val:    40.22 	 clipfrac: 0.28 	 return:  -124.29 	 ep_len:   237.2 	 log_std: -1.000
epoch:  77 	 pol:     0.00 	 val:    33.33 	 clipfrac: 0.27 	 return:  -127.47 	 ep_len:   355.6 	 log_std: -1.000
epoch:  78 	 pol:     0.08 	 val:    23.76 	 clipfrac: 0.29 	 return:  -127.96 	 ep_len:   458.2 	 log_std: -1.000
epoch:  79 	 pol:     0.02 	 val:    20.78 	 clipfrac: 0.31 	 return:  -138.61 	 ep_len:   634.9 	 log_std: -1.000
epoch:  80 	 pol:     0.03 	 val:    24.25 	 clipfrac: 0.25 	 return:  -123.16 	 ep_len:   521.2 	 log_std: -1.000
epoch:  81 	 pol:     0.01 	 val:    25.42 	 clipfrac: 0.27 	 return:  -121.60 	 ep_len:   476.3 	 log_std: -1.000
epoch:  82 	 pol:    -0.01 	 val:    24.10 	 clipfrac: 0.27 	 return:  -127.83 	 ep_len:   556.9 	 log_std: -1.000
epoch:  83 	 pol:    -0.07 	 val:    29.37 	 clipfrac: 0.30 	 return:  -125.86 	 ep_len:   402.4 	 log_std: -1.000
epoch:  84 	 pol:    -0.01 	 val:    17.59 	 clipfrac: 0.36 	 return:  -140.75 	 ep_len:   430.9 	 log_std: -1.000
epoch:  85 	 pol:     0.03 	 val:    16.86 	 clipfrac: 0.28 	 return:  -137.82 	 ep_len:   508.3 	 log_std: -1.000
epoch:  86 	 pol:     0.02 	 val:    13.07 	 clipfrac: 0.30 	 return:  -146.97 	 ep_len:   574.7 	 log_std: -1.000
epoch:  87 	 pol:    -0.07 	 val:    21.56 	 clipfrac: 0.39 	 return:  -148.10 	 ep_len:   585.4 	 log_std: -1.000
epoch:  88 	 pol:     0.03 	 val:    16.60 	 clipfrac: 0.48 	 return:  -143.72 	 ep_len:   999.3 	 log_std: -1.000
epoch:  89 	 pol:     0.09 	 val:    15.79 	 clipfrac: 0.48 	 return:  -126.56 	 ep_len:   841.7 	 log_std: -1.000
epoch:  90 	 pol:     0.06 	 val:     8.76 	 clipfrac: 0.55 	 return:  -127.07 	 ep_len:  1479.0 	 log_std: -1.000
epoch:  91 	 pol:     0.05 	 val:     7.56 	 clipfrac: 0.35 	 return:  -112.75 	 ep_len:  1080.2 	 log_std: -1.000
epoch:  92 	 pol:    -0.05 	 val:     8.39 	 clipfrac: 0.35 	 return:  -126.78 	 ep_len:  1014.6 	 log_std: -1.000
epoch:  93 	 pol:     0.00 	 val:     3.74 	 clipfrac: 0.37 	 return:  -103.33 	 ep_len:  1350.8 	 log_std: -1.000
epoch:  94 	 pol:     0.05 	 val:     2.53 	 clipfrac: 0.39 	 return:  -113.74 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  95 	 pol:    -0.07 	 val:     4.74 	 clipfrac: 0.33 	 return:  -118.32 	 ep_len:  1255.7 	 log_std: -1.000
epoch:  96 	 pol:     0.04 	 val:     1.89 	 clipfrac: 0.37 	 return:  -110.48 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  97 	 pol:    -0.07 	 val:     3.40 	 clipfrac: 0.30 	 return:  -107.46 	 ep_len:  1384.3 	 log_std: -1.000
epoch:  98 	 pol:    -0.02 	 val:     4.34 	 clipfrac: 0.32 	 return:  -112.00 	 ep_len:  1339.1 	 log_std: -1.000
epoch:  99 	 pol:    -0.00 	 val:    15.19 	 clipfrac: 0.37 	 return:  -111.41 	 ep_len:  1031.7 	 log_std: -1.000
Saved rollout gif -> bipedal_walker_gifs/epoch_0100.gif
epoch: 100 	 pol:    -0.04 	 val:     3.86 	 clipfrac: 0.30 	 return:  -114.09 	 ep_len:  1548.7 	 log_std: -1.000
epoch: 101 	 pol:    -0.07 	 val:    10.25 	 clipfrac: 0.30 	 return:  -118.69 	 ep_len:  1155.4 	 log_std: -1.000
epoch: 102 	 pol:    -0.03 	 val:     4.96 	 clipfrac: 0.29 	 return:  -112.06 	 ep_len:  1341.6 	 log_std: -1.000
