
Projection policy gradient (ptorch) for continuous control, with value baseline.

/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/bipedal_walker.py:304: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  pol_acc += float(pol); val_acc += float(val); nb += 1
epoch:  40 	 pol:     0.05 	 val:     0.39 	 clipfrac: 0.18 	 return:   -48.60 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  41 	 pol:    -0.03 	 val:     0.27 	 clipfrac: 0.18 	 return:   -32.62 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  42 	 pol:    -0.04 	 val:     0.23 	 clipfrac: 0.18 	 return:   -34.12 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  43 	 pol:    -0.28 	 val:     3.66 	 clipfrac: 0.19 	 return:   -67.51 	 ep_len:  1342.3 	 log_std: -1.000
epoch:  44 	 pol:     0.04 	 val:     0.32 	 clipfrac: 0.20 	 return:   -43.55 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  45 	 pol:    -0.01 	 val:     0.26 	 clipfrac: 0.18 	 return:   -33.80 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  46 	 pol:    -0.01 	 val:     0.25 	 clipfrac: 0.17 	 return:   -36.61 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  47 	 pol:    -0.12 	 val:     8.15 	 clipfrac: 0.24 	 return:   -73.51 	 ep_len:  1019.5 	 log_std: -1.000
epoch:  48 	 pol:    -0.04 	 val:     3.20 	 clipfrac: 0.12 	 return:   -51.31 	 ep_len:  1342.2 	 log_std: -1.000
epoch:  49 	 pol:    -0.15 	 val:     3.09 	 clipfrac: 0.11 	 return:   -52.13 	 ep_len:  1342.8 	 log_std: -1.000
epoch:  50 	 pol:    -0.08 	 val:     0.31 	 clipfrac: 0.19 	 return:   -30.63 	 ep_len:  1600.0 	 log_std: -1.000
epoch:  51 	 pol:    -0.22 	 val:    10.68 	 clipfrac: 0.20 	 return:   -75.38 	 ep_len:  1019.8 	 log_std: -1.000
epoch:  52 	 pol:    -0.24 	 val:    12.75 	 clipfrac: 0.23 	 return:   -82.71 	 ep_len:   825.6 	 log_std: -1.000
epoch:  53 	 pol:    -0.07 	 val:    17.45 	 clipfrac: 0.21 	 return:   -87.29 	 ep_len:   757.5 	 log_std: -1.000
epoch:  54 	 pol:    -0.15 	 val:    10.33 	 clipfrac: 0.14 	 return:   -70.84 	 ep_len:  1019.0 	 log_std: -1.000
epoch:  55 	 pol:    -0.27 	 val:    16.70 	 clipfrac: 0.21 	 return:   -80.36 	 ep_len:   910.8 	 log_std: -1.000
epoch:  56 	 pol:    -0.12 	 val:    18.54 	 clipfrac: 0.14 	 return:   -82.79 	 ep_len:   753.5 	 log_std: -1.000
epoch:  57 	 pol:    -0.32 	 val:    12.95 	 clipfrac: 0.18 	 return:   -81.67 	 ep_len:   824.2 	 log_std: -1.000
epoch:  58 	 pol:    -0.09 	 val:     5.20 	 clipfrac: 0.20 	 return:   -47.80 	 ep_len:  1341.0 	 log_std: -1.000
epoch:  59 	 pol:    -0.05 	 val:     4.50 	 clipfrac: 0.18 	 return:   -48.54 	 ep_len:  1340.8 	 log_std: -1.000

Saved training plot to bipedal_walker_training_BipedalWalker-v3.png
