
Projection policy gradient (ptorch) for continuous control, with value baseline.

epoch:  41 	 pol:    -2.02 	 val:     0.00 	 clipfrac: 0.53 	 return:  -127.61 	 ep_len:    45.7 	 log_std: -0.759
epoch:  42 	 pol:    -5.35 	 val:     0.00 	 clipfrac: 0.54 	 return:  -127.67 	 ep_len:    45.7 	 log_std: -0.761
epoch:  43 	 pol:    -1.38 	 val:     0.00 	 clipfrac: 0.55 	 return:  -127.64 	 ep_len:    45.9 	 log_std: -0.763
epoch:  44 	 pol:    -7.47 	 val:     0.00 	 clipfrac: 0.54 	 return:  -127.65 	 ep_len:    46.0 	 log_std: -0.765
epoch:  45 	 pol:    -6.98 	 val:     0.00 	 clipfrac: 0.48 	 return:  -127.02 	 ep_len:    46.0 	 log_std: -0.767
epoch:  46 	 pol:   -12.50 	 val:     0.00 	 clipfrac: 0.55 	 return:  -126.81 	 ep_len:    46.1 	 log_std: -0.771
epoch:  47 	 pol:    -6.30 	 val:     0.00 	 clipfrac: 0.47 	 return:  -126.76 	 ep_len:    46.1 	 log_std: -0.776
epoch:  48 	 pol:   -21.97 	 val:     0.00 	 clipfrac: 0.58 	 return:  -127.27 	 ep_len:    46.0 	 log_std: -0.777
epoch:  49 	 pol:   -79.03 	 val:     0.00 	 clipfrac: 0.60 	 return:  -127.51 	 ep_len:    45.9 	 log_std: -0.792
epoch:  50 	 pol:   -75.88 	 val:     0.00 	 clipfrac: 0.53 	 return:  -127.86 	 ep_len:    45.7 	 log_std: -0.801	 det_ret:  -127.49 	 det_len:   45.0
epoch:  51 	 pol:   -11.25 	 val:     0.00 	 clipfrac: 0.54 	 return:  -127.89 	 ep_len:    45.8 	 log_std: -0.804
epoch:  52 	 pol:   -24.82 	 val:     0.00 	 clipfrac: 0.56 	 return:  -127.88 	 ep_len:    45.7 	 log_std: -0.807
epoch:  53 	 pol:   -19.65 	 val:     0.00 	 clipfrac: 0.57 	 return:  -127.95 	 ep_len:    45.9 	 log_std: -0.810
epoch:  54 	 pol:   -37.10 	 val:     0.00 	 clipfrac: 0.56 	 return:  -127.98 	 ep_len:    45.9 	 log_std: -0.813
epoch:  55 	 pol:   -83.53 	 val:     0.00 	 clipfrac: 0.58 	 return:  -127.90 	 ep_len:    45.8 	 log_std: -0.815
epoch:  56 	 pol:  -173.48 	 val:     0.00 	 clipfrac: 0.62 	 return:  -127.68 	 ep_len:    45.4 	 log_std: -0.820
epoch:  57 	 pol:   -59.90 	 val:     0.00 	 clipfrac: 0.55 	 return:  -127.74 	 ep_len:    45.5 	 log_std: -0.823
epoch:  58 	 pol:  -112.52 	 val:     0.00 	 clipfrac: 0.58 	 return:  -127.82 	 ep_len:    45.6 	 log_std: -0.826
epoch:  59 	 pol:    91.75 	 val:     0.00 	 clipfrac: 0.62 	 return:  -127.83 	 ep_len:    45.6 	 log_std: -0.826
epoch:  60 	 pol:    18.45 	 val:     0.00 	 clipfrac: 0.54 	 return:  -127.87 	 ep_len:    45.7 	 log_std: -0.828	 det_ret:  -127.52 	 det_len:   45.0
epoch:  61 	 pol:    45.39 	 val:     0.00 	 clipfrac: 0.56 	 return:  -127.88 	 ep_len:    45.7 	 log_std: -0.830
epoch:  62 	 pol:   -74.89 	 val:     0.00 	 clipfrac: 0.55 	 return:  -127.94 	 ep_len:    45.8 	 log_std: -0.833
epoch:  63 	 pol:   -79.24 	 val:     0.00 	 clipfrac: 0.50 	 return:  -127.96 	 ep_len:    45.9 	 log_std: -0.836
epoch:  64 	 pol:    33.14 	 val:     0.00 	 clipfrac: 0.57 	 return:  -128.00 	 ep_len:    46.0 	 log_std: -0.838
epoch:  65 	 pol:  -593.39 	 val:     0.00 	 clipfrac: 0.56 	 return:  -127.67 	 ep_len:    45.3 	 log_std: -0.847
epoch:  66 	 pol:  -216.93 	 val:     0.00 	 clipfrac: 0.53 	 return:  -127.72 	 ep_len:    45.4 	 log_std: -0.850
epoch:  67 	 pol:   255.76 	 val:     0.00 	 clipfrac: 0.55 	 return:  -127.82 	 ep_len:    45.6 	 log_std: -0.855
epoch:  68 	 pol:   -35.79 	 val:     0.00 	 clipfrac: 0.54 	 return:  -127.77 	 ep_len:    45.5 	 log_std: -0.857
epoch:  69 	 pol:   -60.68 	 val:     0.00 	 clipfrac: 0.54 	 return:  -127.84 	 ep_len:    45.7 	 log_std: -0.860
epoch:  70 	 pol:  -355.02 	 val:     0.00 	 clipfrac: 0.55 	 return:  -127.89 	 ep_len:    45.8 	 log_std: -0.862	 det_ret:  -127.45 	 det_len:   45.0
epoch:  71 	 pol:   -37.12 	 val:     0.00 	 clipfrac: 0.55 	 return:  -127.89 	 ep_len:    45.8 	 log_std: -0.865
epoch:  72 	 pol:   182.96 	 val:     0.00 	 clipfrac: 0.53 	 return:  -127.98 	 ep_len:    45.9 	 log_std: -0.868
epoch:  73 	 pol:   -42.67 	 val:     0.00 	 clipfrac: 0.53 	 return:  -127.98 	 ep_len:    45.9 	 log_std: -0.870
epoch:  74 	 pol: -1024.37 	 val:     0.00 	 clipfrac: 0.54 	 return:  -127.81 	 ep_len:    45.6 	 log_std: -0.881
epoch:  75 	 pol:  -636.08 	 val:     0.00 	 clipfrac: 0.55 	 return:  -127.76 	 ep_len:    45.5 	 log_std: -0.886
epoch:  76 	 pol:   334.63 	 val:     0.00 	 clipfrac: 0.49 	 return:  -127.78 	 ep_len:    45.5 	 log_std: -0.889
epoch:  77 	 pol:   160.06 	 val:     0.00 	 clipfrac: 0.52 	 return:  -127.83 	 ep_len:    45.6 	 log_std: -0.891
