model,seed,step,train_pinball,eval_pinball,crossing_any,crossing_count,coverage80
SortHead,1,6000,0.6543853878974915,0.6524099707603455,0.0,0.0,0.0008544921875
SortHead,1,6500,0.683954119682312,0.6485171914100647,0.0,0.0,0.0010986328125
SortHead,1,7000,0.6392025351524353,0.6487758159637451,0.0,0.0,0.0003662109375
SortHead,1,7500,0.6212114691734314,0.6454241871833801,0.0,0.0,0.0013427734375
SortHead,1,8000,0.6744322180747986,0.6545451283454895,0.0,0.0,0.0008544921875
SortHead,1,8500,0.6768357157707214,0.6487044095993042,0.0,0.0,0.0008544921875
SortHead,1,9000,0.6392167210578918,0.634445309638977,0.0,0.0,0.001220703125
SortHead,1,9500,0.662983238697052,0.6540154218673706,0.0,0.0,0.0009765625
SortHead,1,10000,0.6332798004150391,0.6491032242774963,0.0,0.0,0.0003662109375
SortHead,1,10500,0.644886314868927,0.656522274017334,0.0,0.0,0.0013427734375
SortHead,1,11000,0.6445963978767395,0.6511499881744385,0.0,0.0,0.0006103515625
SortHead,1,11500,0.669769823551178,0.6499682664871216,0.0,0.0,0.0009765625
SortHead,1,12000,0.6456819176673889,0.6549542546272278,0.0,0.0,0.0006103515625
SortHead,1,12500,0.6798680424690247,0.6508678793907166,0.0,0.0,0.0010986328125
SortHead,1,13000,0.6435887813568115,0.6543367505073547,0.0,0.0,0.0009765625
SortHead,1,13500,0.6549378037452698,0.6457722783088684,0.0,0.0,0.0013427734375
SortHead,1,14000,0.671484649181366,0.6434816718101501,0.0,0.0,0.0006103515625
SortHead,1,14500,0.6433838605880737,0.6566649675369263,0.0,0.0,0.0008544921875
SortHead,1,14999,0.6432825922966003,0.6434105634689331,0.0,0.0,0.0006103515625
SortHead,2,0,0.7061746716499329,0.673897922039032,0.0,0.0,0.0928955078125
SortHead,2,500,0.6583206057548523,0.6522302627563477,0.0,0.0,0.00439453125
SortHead,2,1000,0.6419255137443542,0.6342157125473022,0.0,0.0,0.0020751953125
SortHead,2,1500,0.6522296667098999,0.6580072641372681,0.0,0.0,0.0025634765625
SortHead,2,2000,0.6341260075569153,0.6439831852912903,0.0,0.0,0.001708984375
SortHead,2,2500,0.679617166519165,0.6520293354988098,0.0,0.0,0.0015869140625
SortHead,2,3000,0.6454656720161438,0.6453744173049927,0.0,0.0,0.001708984375
SortHead,2,3500,0.6538687348365784,0.6549822688102722,0.0,0.0,0.0009765625
SortHead,2,4000,0.6236544847488403,0.6372860074043274,0.0,0.0,0.0008544921875
SortHead,2,4500,0.6727924346923828,0.6556611657142639,0.0,0.0,0.001953125
SortHead,2,5000,0.6524239778518677,0.6619012951850891,0.0,0.0,0.0001220703125
SortHead,2,5500,0.6263999938964844,0.635961651802063,0.0,0.0,0.0008544921875
SortHead,2,6000,0.6502468585968018,0.6417953968048096,0.0,0.0,0.0020751953125
SortHead,2,6500,0.6506295800209045,0.6462681293487549,0.0,0.0,0.000732421875
SortHead,2,7000,0.6440228819847107,0.6577574610710144,0.0,0.0,0.0006103515625
SortHead,2,7500,0.6634511351585388,0.6514677405357361,0.0,0.0,0.0008544921875
SortHead,2,8000,0.616156816482544,0.6487824320793152,0.0,0.0,0.0010986328125
SortHead,2,8500,0.672759473323822,0.6548579335212708,0.0,0.0,0.000732421875
SortHead,2,9000,0.6796737909317017,0.6530597805976868,0.0,0.0,0.0006103515625
SortHead,2,9500,0.6568991541862488,0.6476141810417175,0.0,0.0,0.00048828125
SortHead,2,10000,0.6925857663154602,0.6582730412483215,0.0,0.0,0.00146484375
SortHead,2,10500,0.6855327486991882,0.6526855826377869,0.0,0.0,0.0013427734375
SortHead,2,11000,0.6333048939704895,0.6573669910430908,0.0,0.0,0.000732421875
SortHead,2,11500,0.6736127734184265,0.6550422310829163,0.0,0.0,0.0010986328125
SortHead,2,12000,0.6464956998825073,0.6608704328536987,0.0,0.0,0.000244140625
SortHead,2,12500,0.6061655282974243,0.6541827321052551,0.0,0.0,0.000244140625
SortHead,2,13000,0.6610554456710815,0.647424042224884,0.0,0.0,0.0013427734375
SortHead,2,13500,0.6678594946861267,0.6480023860931396,0.0,0.0,0.0006103515625
SortHead,2,14000,0.636049747467041,0.6449421644210815,0.0,0.0,0.0006103515625
SortHead,2,14500,0.6448248624801636,0.643757700920105,0.0,0.0,0.0003662109375
SortHead,2,14999,0.6232222318649292,0.6425090432167053,0.0,0.0,0.000732421875
