lam,depth,seed,step,hidden_idx,delta_local,g_trace
0.3,2,0,1,1,0.020567167550325394,0.31291133879093824
0.3,2,0,1,0,0.00042426493018865585,0.22061788506959934
0.3,2,0,10,1,0.02043621987104416,0.3169224357449902
0.3,2,0,10,0,0.0003883125609718263,0.2339945787125922
0.3,2,0,20,1,0.017469167709350586,0.35937702176897873
0.3,2,0,20,0,0.0004325693880673498,0.24279285374780132
0.3,2,0,30,1,0.01869514212012291,0.31059356687791767
0.3,2,0,30,0,0.00042045858572237194,0.22615343040084745
0.3,2,0,40,1,0.019568152725696564,0.33221679685802263
0.3,2,0,40,0,0.00046522729098796844,0.2297866434880102
0.3,2,0,50,1,0.01871861144900322,0.3316031265081638
0.3,2,0,50,0,0.00041578782838769257,0.23440124455343544
0.3,2,0,60,1,0.016326161101460457,0.3518131255888025
0.3,2,0,60,0,0.0004318896390032023,0.24144359532719045
0.3,2,0,70,1,0.01683349907398224,0.34876274106814886
0.3,2,0,70,0,0.0004888789262622595,0.23199186277619394
0.3,2,0,80,1,0.01908600702881813,0.3285686492747771
0.3,2,0,80,0,0.0004236796230543405,0.2323050302744504
0.3,2,0,90,1,0.01568068191409111,0.33820137021768987
0.3,2,0,90,0,0.000420123222284019,0.23820869389101065
0.3,2,0,100,1,0.020252825692296028,0.3079380035248344
0.3,2,0,100,0,0.0003897557035088539,0.2297724717920623
0.3,2,0,110,1,0.017152324318885803,0.3296299743460166
0.3,2,0,110,0,0.0004126525891479105,0.23060466710473934
0.3,2,0,120,1,0.020663389936089516,0.32083419798252016
0.3,2,0,120,0,0.00043368228944018483,0.22622281976034986
0.3,2,0,130,1,0.015600863844156265,0.3415074157495941
0.3,2,0,130,0,0.00039883831050246954,0.24299694000353123
0.3,2,0,140,1,0.015883754938840866,0.36054851529712506
0.3,2,0,140,0,0.00046032402315177023,0.23274873682958572
0.3,2,0,150,1,0.017321335151791573,0.31430412290665927
0.3,2,0,150,0,0.00046133538126014173,0.21325553847817263
0.3,2,0,160,1,0.01871728152036667,0.31349336622470625
0.3,2,0,160,0,0.0004900229978375137,0.2152317424196589
0.3,2,0,170,1,0.015933429822325706,0.32989738462285
0.3,2,0,170,0,0.0003987241361755878,0.22962711276638043
0.3,2,0,180,1,0.015804534777998924,0.3244319152626754
0.3,2,0,180,0,0.0004124478728044778,0.23025510732137394
0.3,2,0,190,1,0.01700587011873722,0.32591663358679207
0.3,2,0,190,0,0.00044324452755972743,0.2235403437339539
0.3,2,0,200,1,0.015215774066746235,0.31967544553563115
