lam,depth,seed,step,hidden_idx,delta_local,g_trace
0.3,2,0,1,1,0.02052188478410244,7.799154758453369
0.3,2,0,1,0,0.01071753166615963,2.3408782482147217
0.3,2,0,10,1,0.02040451020002365,7.745913028717041
0.3,2,0,10,0,0.010765518061816692,2.3248586654663086
0.3,2,0,20,1,0.01747807301580906,8.844688415527344
0.3,2,0,20,0,0.01024565938860178,2.653595209121704
0.3,2,0,30,1,0.018757812678813934,7.267630577087402
0.3,2,0,30,0,0.009713423438370228,2.1813952922821045
0.3,2,0,40,1,0.019757989794015884,8.127981185913086
0.3,2,0,40,0,0.010973520576953888,2.4394209384918213
0.3,2,0,50,1,0.01898241601884365,7.982685565948486
0.3,2,0,50,0,0.009943106211721897,2.395524024963379
0.3,2,0,60,1,0.01653316617012024,7.955172538757324
0.3,2,0,60,0,0.009502056986093521,2.3871679306030273
0.3,2,0,70,1,0.016990752890706062,8.056679725646973
0.3,2,0,70,0,0.010774742811918259,2.4180049896240234
0.3,2,0,80,1,0.0193913783878088,7.985434055328369
0.3,2,0,80,0,0.010365840047597885,2.3962786197662354
0.3,2,0,90,1,0.01604968123137951,7.222548007965088
0.3,2,0,90,0,0.009198454208672047,2.1673762798309326
0.3,2,0,100,1,0.020807702094316483,7.7283935546875
0.3,2,0,100,0,0.009737296961247921,2.318974256515503
0.3,2,0,110,1,0.017521081492304802,7.629095554351807
0.3,2,0,110,0,0.009979793801903725,2.2901320457458496
0.3,2,0,120,1,0.020910535007715225,7.952295303344727
0.3,2,0,120,0,0.010772858746349812,2.3871688842773438
0.3,2,0,130,1,0.016147835180163383,7.76879358291626
0.3,2,0,130,0,0.009129601530730724,2.3314874172210693
0.3,2,0,140,1,0.016320111230015755,8.065653800964355
0.3,2,0,140,0,0.011162443086504936,2.42104172706604
0.3,2,0,150,1,0.01830371655523777,7.031752586364746
0.3,2,0,150,0,0.01047380268573761,2.1105048656463623
0.3,2,0,160,1,0.019335081800818443,6.992170333862305
0.3,2,0,160,0,0.010598708875477314,2.0986218452453613
0.3,2,0,170,1,0.0167195126414299,7.436127185821533
0.3,2,0,170,0,0.010254773311316967,2.232288360595703
0.3,2,0,180,1,0.016728635877370834,7.465778350830078
0.3,2,0,180,0,0.00963249709457159,2.240992307662964
0.3,2,0,190,1,0.017824459820985794,7.195379734039307
0.3,2,0,190,0,0.01017407514154911,2.159557580947876
0.3,2,0,200,1,0.016265571117401123,7.0504326820373535
0.3,2,0,200,0,0.009605604223906994,2.1164345741271973
0.3,2,0,210,1,0.01805400848388672,7.056784629821777
0.3,2,0,210,0,0.0094465222209692,2.1180739402770996
0.3,2,0,220,1,0.016503388062119484,7.936731815338135
0.3,2,0,220,0,0.010726520791649818,2.382493257522583
0.3,2,0,230,1,0.01654197834432125,6.2894487380981445
0.3,2,0,230,0,0.009343079291284084,1.8876644372940063
0.3,2,0,240,1,0.013806579634547234,6.674403190612793
0.3,2,0,240,0,0.009515607729554176,2.003521203994751
0.3,2,0,250,1,0.014466841705143452,6.925254821777344
0.3,2,0,250,0,0.009568676352500916,2.07863187789917
