Device: cpu

============================================================
ptorch | MNIST_1L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 299/5000 [00:04<00:59, 78.67step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 308/5000 [00:04<00:59, 79.26step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 317/5000 [00:04<00:58, 79.54step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 326/5000 [00:04<00:58, 79.99step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 335/5000 [00:04<00:58, 80.37step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 344/5000 [00:04<00:57, 80.64step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 353/5000 [00:04<00:57, 80.88step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 362/5000 [00:04<00:57, 80.89step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 371/5000 [00:04<00:57, 80.92step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 380/5000 [00:05<00:57, 80.93step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 389/5000 [00:05<00:56, 80.91step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 398/5000 [00:05<00:56, 80.94step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 400/5000 [00:05<00:56, 80.94step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 407/5000 [00:05<01:21, 56.07step/s, best=0.8030, val_acc=0.8882]
