framework,task,optimizer,run,step,val_acc,wall_time_s
torch,MNIST_4L,Adam,1,0,0.14455214142799377,0.24239873886108398
torch,MNIST_4L,Adam,1,200,0.8616310358047485,0.6816456317901611
torch,MNIST_4L,Adam,1,400,0.9301470518112183,1.0073187351226807
torch,MNIST_4L,Adam,1,600,0.9278075098991394,1.3164634704589844
torch,MNIST_4L,Adam,1,800,0.9430147409439087,1.6250555515289307
torch,MNIST_4L,Adam,1,1000,0.9510360956192017,1.9328944683074951
torch,MNIST_4L,Adam,1,1200,0.9532085657119751,2.2397732734680176
torch,MNIST_4L,Adam,1,1400,0.9565508365631104,2.546384334564209
torch,MNIST_4L,Adam,1,1600,0.9595588445663452,2.8525137901306152
torch,MNIST_4L,Adam,1,1800,0.959391713142395,3.1744322776794434
torch,MNIST_4L,Adam,1,2000,0.9587233066558838,3.479044198989868
torch,MNIST_4L,Adam,1,2200,0.9587233066558838,3.7829205989837646
torch,MNIST_4L,Adam,1,2400,0.9612299799919128,4.0863730907440186
torch,MNIST_4L,Adam,1,2600,0.9613970518112183,4.390413999557495
torch,MNIST_4L,Adam,1,2800,0.960060179233551,4.694072246551514
torch,MNIST_4L,Adam,1,3000,0.9674131274223328,4.99655294418335
torch,MNIST_4L,Adam,1,3200,0.9674131274223328,5.30010461807251
torch,MNIST_4L,Adam,1,3400,0.9667446613311768,5.622361183166504
torch,MNIST_4L,Adam,1,3600,0.9674131274223328,5.928741455078125
torch,MNIST_4L,Adam,1,3800,0.9645721912384033,6.234387159347534
torch,MNIST_4L,Adam,1,4000,0.9637366533279419,6.539674758911133
torch,MNIST_4L,Adam,1,4200,0.9642379879951477,6.844316482543945
torch,MNIST_4L,Adam,1,4400,0.970086932182312,7.151043176651001
torch,MNIST_4L,Adam,1,4600,0.9695855975151062,7.456686019897461
torch,MNIST_4L,Adam,1,4800,0.9682486653327942,7.761073350906372
torch,MNIST_4L,Adam,1,5000,0.970086932182312,8.065932989120483
torch,MNIST_4L,Adam,1,5200,0.9655748605728149,8.386143922805786
torch,MNIST_4L,Adam,1,5400,0.9625668525695801,8.691750288009644
torch,MNIST_4L,Adam,1,5600,0.9705882668495178,8.997007369995117
torch,MNIST_4L,Adam,1,5800,0.9732620716094971,9.301645517349243
torch,MNIST_4L,Adam,1,6000,0.9732620716094971,9.606428623199463
torch,MNIST_4L,Adam,1,6200,0.9719251394271851,9.911730527877808
