Device: cpu

============================================================
ptorch | MNIST_4L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 141/5000 [00:04<02:37, 30.77step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 145/5000 [00:04<02:38, 30.70step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 149/5000 [00:05<02:38, 30.60step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 153/5000 [00:05<02:37, 30.70step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 157/5000 [00:05<02:37, 30.68step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 161/5000 [00:05<02:36, 30.87step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 165/5000 [00:05<02:36, 30.88step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 169/5000 [00:05<02:36, 30.90step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 173/5000 [00:05<02:36, 30.87step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 177/5000 [00:06<02:36, 30.85step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 181/5000 [00:06<02:36, 30.78step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 185/5000 [00:06<02:36, 30.68step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 189/5000 [00:06<02:36, 30.73step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 193/5000 [00:06<02:36, 30.70step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 197/5000 [00:06<02:36, 30.69step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 200/5000 [00:07<02:36, 30.69step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 201/5000 [00:07<04:24, 18.16step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 205/5000 [00:07<03:51, 20.74step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 209/5000 [00:07<03:27, 23.05step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 213/5000 [00:07<03:11, 25.00step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 217/5000 [00:07<03:01, 26.41step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 221/5000 [00:07<02:53, 27.53step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 225/5000 [00:07<02:48, 28.29step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 229/5000 [00:07<02:44, 28.97step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 233/5000 [00:08<02:43, 29.22step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 237/5000 [00:08<02:41, 29.40step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 240/5000 [00:08<02:42, 29.38step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 243/5000 [00:08<02:42, 29.32step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 246/5000 [00:08<02:42, 29.22step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 249/5000 [00:08<02:42, 29.21step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 252/5000 [00:08<02:42, 29.17step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 255/5000 [00:08<02:44, 28.84step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 258/5000 [00:08<02:46, 28.52step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 261/5000 [00:09<02:47, 28.35step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 264/5000 [00:09<02:48, 28.05step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 267/5000 [00:09<02:49, 27.90step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 270/5000 [00:09<02:50, 27.79step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 273/5000 [00:09<02:54, 27.08step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 276/5000 [00:09<02:52, 27.32step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 279/5000 [00:09<02:56, 26.78step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 282/5000 [00:09<02:55, 26.91step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 285/5000 [00:09<02:55, 26.86step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 288/5000 [00:10<02:53, 27.20step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 291/5000 [00:10<02:52, 27.32step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 294/5000 [00:10<02:52, 27.34step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 297/5000 [00:10<02:50, 27.61step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 300/5000 [00:10<02:50, 27.51step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 303/5000 [00:10<02:53, 27.09step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 306/5000 [00:10<02:52, 27.22step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 309/5000 [00:10<02:51, 27.38step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 312/5000 [00:10<02:50, 27.42step/s, best=0.0672, val_acc=0.8666]
