framework,task,activation,differentiable,norm,optimizer,loss,run,step,val_acc,wall_time_s,split
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1100,0.8671875,10.661475419998169,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1200,0.8748224973678589,11.757160425186157,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1300,0.8796164989471436,12.68917202949524,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1400,0.8845881223678589,13.609519243240356,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1500,0.8904474973678589,14.530734062194824,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1600,0.8952414989471436,15.63152813911438,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1700,0.8998579978942871,16.56471276283264,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1800,0.9034091234207153,17.48909616470337,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,1900,0.9046519994735718,18.417418241500854,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,3,2000,0.9040613174438477,19.43775224685669,test
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,0,0.13565340638160706,16.641215085983276,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,10,0.13382352888584137,17.57779622077942,test
