tag,step,train_acc,val_acc
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,3900,0.35546875,0.35986328125
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4000,0.45703125,0.3759114742279053
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4100,0.41015625,0.4042317867279053
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4200,0.359375,0.3942057490348816
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4300,0.5,0.48522138595581055
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4400,0.51953125,0.39921876788139343
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4500,0.3984375,0.2847330868244171
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4600,0.43359375,0.41337892413139343
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4700,0.41796875,0.37526044249534607
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4800,0.51953125,0.45983076095581055
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,4900,0.4609375,0.3941080868244171
pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+pa=auto,5000,0.46875,0.42018231749534607
