tag,step,train_acc,val_acc
random_body,100,0.3828125,0.3946940302848816
random_body,200,0.40234375,0.4081380367279053
random_body,300,0.421875,0.4036458432674408
random_body,400,0.50390625,0.43079429864883423
random_body,500,0.51171875,0.4487956166267395
random_body,600,0.55078125,0.40504559874534607
random_body,700,0.46875,0.4330078065395355
random_body,800,0.53515625,0.4541667103767395
random_body,900,0.5,0.4222656190395355
random_body,1000,0.546875,0.452604204416275
random_body,1100,0.59765625,0.442545622587204
random_body,1200,0.59765625,0.44316408038139343
random_body,1300,0.6015625,0.4654296934604645
random_body,1400,0.6171875,0.46119794249534607
random_body,1500,0.53515625,0.4544270932674408
random_body,1600,0.62109375,0.4391927421092987
random_body,1700,0.63671875,0.42174482345581055
random_body,1800,0.58203125,0.4580078125
random_body,1900,0.6015625,0.4706380367279053
random_body,2000,0.66015625,0.4654296934604645
random_body,2100,0.5703125,0.450846403837204
random_body,2200,0.6328125,0.462890625
random_body,2300,0.54296875,0.43193361163139343
random_body,2400,0.59765625,0.46080732345581055
random_body,2500,0.58203125,0.448404997587204
random_body,2600,0.671875,0.45152997970581055
random_body,2700,0.55859375,0.43785810470581055
random_body,2800,0.62890625,0.4429362416267395
random_body,2900,0.5703125,0.45976564288139343
random_body,3000,0.640625,0.439615935087204
random_body,3100,0.625,0.4456380307674408
random_body,3200,0.59375,0.46985679864883423
random_body,3300,0.625,0.45000001788139343
random_body,3400,0.60546875,0.4496419429779053
random_body,3500,0.671875,0.47734376788139343
random_body,3600,0.68359375,0.47486981749534607
random_body,3700,0.58203125,0.465006560087204
random_body,3800,0.60546875,0.4486328065395355
random_body,3900,0.62109375,0.4523763358592987
random_body,4000,0.6484375,0.4666992127895355
random_body,4100,0.6328125,0.443033903837204
random_body,4200,0.65234375,0.4530273377895355
random_body,4300,0.62109375,0.444303423166275
random_body,4400,0.6796875,0.461881548166275
random_body,4500,0.69140625,0.4562825858592987
random_body,4600,0.5625,0.46757814288139343
random_body,4700,0.6328125,0.476529985666275
random_body,4800,0.7109375,0.45722657442092896
random_body,4900,0.5703125,0.4540039002895355
random_body,5000,0.62109375,0.4517253041267395
