framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5100,0.9818359375,0.7044270634651184,59.95566177368164
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5200,0.987578125,0.7115384936332703,61.12341046333313
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5300,0.985234375,0.7122395634651184,62.2895188331604
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5400,0.9876171875,0.7167468070983887,63.45412731170654
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5500,0.984453125,0.707932710647583,64.62216591835022
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5600,0.98703125,0.7028245329856873,65.78671765327454
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5700,0.98203125,0.7066306471824646,66.95234870910645
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5800,0.9765234375,0.6938101053237915,68.12131643295288
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5900,0.9737890625,0.7025240659713745,69.28917860984802
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6000,0.9734765625,0.6966145634651184,70.45427513122559
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6100,0.9769140625,0.7072315812110901,71.63143467903137
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6200,0.9825390625,0.7058293223381042,72.80243754386902
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6300,0.9855078125,0.7073317170143127,73.97703433036804
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6400,0.990234375,0.7026242017745972,75.14298582077026
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6500,0.989453125,0.7149439454078674,76.32254004478455
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6600,0.99125,0.7080328464508057,77.48986482620239
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6700,0.9915625,0.7156450152397156,78.66052079200745
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6800,0.99203125,0.7033253312110901,79.82767033576965
torch,CIFAR10,l2,AdamW,CrossEntropy,1,6900,0.990859375,0.7097355723381042,80.99390530586243
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7000,0.9861328125,0.7047275900840759,82.16031265258789
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7100,0.9817578125,0.6984174847602844,83.3296070098877
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7200,0.974609375,0.6928085088729858,84.49312973022461
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7300,0.9718359375,0.6939102411270142,85.66143703460693
