framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5000,0.68025390625,0.5182291865348816,137.76490592956543
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5100,0.681416015625,0.5182291865348816,140.09123706817627
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5200,0.6845703125,0.5194227695465088,142.4172637462616
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5300,0.685712890625,0.5188801884651184,144.74242758750916
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5400,0.6871484375,0.5198567509651184,147.0674741268158
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5500,0.687646484375,0.521484375,149.39298033714294
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5600,0.690478515625,0.519639790058136,151.71904730796814
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5700,0.691484375,0.5188801884651184,154.04784846305847
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5800,0.693681640625,0.5213758945465088,156.3797161579132
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,5900,0.6940625,0.5200737714767456,158.70664978027344
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6000,0.6970703125,0.5181206464767456,161.03399801254272
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6100,0.696982421875,0.5164930820465088,163.36051559448242
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6200,0.700302734375,0.51953125,165.6860945224762
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6300,0.699755859375,0.5171440839767456,168.01250982284546
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6400,0.7015625,0.5170356035232544,170.34116291999817
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6500,0.702685546875,0.5192057490348816,172.66868805885315
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6600,0.703466796875,0.5172526240348816,174.99409580230713
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6700,0.704853515625,0.5190972089767456,177.3206284046173
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6800,0.705234375,0.5143229365348816,179.64637899398804
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,6900,0.708955078125,0.5193142294883728,181.97369575500488
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7000,0.70904296875,0.517578125,184.30279111862183
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7100,0.7097265625,0.5201823115348816,186.62946009635925
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7200,0.710517578125,0.5192057490348816,188.954204082489
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7300,0.713310546875,0.5190972089767456,191.2771031856537
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7400,0.71314453125,0.5205078125,193.60195136070251
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7500,0.715361328125,0.5209418535232544,195.93009519577026
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7600,0.71671875,0.520616352558136,198.258131980896
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7700,0.71611328125,0.5182291865348816,200.58490753173828
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7800,0.719267578125,0.518663227558136,202.9122064113617
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,7900,0.719287109375,0.5188801884651184,205.2395055294037
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8000,0.720927734375,0.5208333134651184,207.5653886795044
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8100,0.720166015625,0.515625,209.89087462425232
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8200,0.723427734375,0.5190972089767456,212.2213077545166
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8300,0.723583984375,0.5205078125,214.5470254421234
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8400,0.724326171875,0.5188801884651184,216.87361240386963
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8500,0.726162109375,0.519639790058136,219.20097303390503
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8600,0.726513671875,0.5161675214767456,221.5264654159546
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8700,0.72890625,0.5205078125,223.85532927513123
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8800,0.727783203125,0.5189887285232544,226.18037796020508
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,8900,0.7298828125,0.5189887285232544,228.5059096813202
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9000,0.73091796875,0.5161675214767456,230.83305263519287
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9100,0.72953125,0.5188801884651184,233.15823817253113
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9200,0.733955078125,0.5168185830116272,235.48290824890137
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9300,0.7320703125,0.5200737714767456,237.80792140960693
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9400,0.734619140625,0.5193142294883728,240.13216972351074
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9500,0.73435546875,0.5164930820465088,242.46017456054688
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9600,0.736591796875,0.5169270634651184,244.78641748428345
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9700,0.73642578125,0.5208333134651184,247.1128888130188
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9800,0.736806640625,0.5182291865348816,249.43731808662415
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,9900,0.738369140625,0.5171440839767456,251.7654242515564
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10000,0.739775390625,0.5193142294883728,254.0955047607422
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10100,0.739619140625,0.5134548544883728,256.4253144264221
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10200,0.740244140625,0.5161675214767456,258.7551610469818
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10300,0.7424609375,0.5184462070465088,261.08087277412415
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10400,0.742177734375,0.5189887285232544,263.4067361354828
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10500,0.74314453125,0.5172526240348816,265.73393964767456
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10600,0.743759765625,0.517686665058136,268.0599925518036
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10700,0.744853515625,0.517686665058136,270.38696789741516
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10800,0.746005859375,0.5180121660232544,272.7145516872406
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,10900,0.746123046875,0.5169270634651184,275.0452170372009
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11000,0.74603515625,0.5174696445465088,277.3739502429962
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11100,0.74833984375,0.5163845419883728,279.70250153541565
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11200,0.74794921875,0.518663227558136,282.0310878753662
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11300,0.75029296875,0.5194227695465088,284.35705065727234
