step_bucket,key,metric,count,mean,max
200,layer/block1.attn,rel_delta,200,0.0685307,0.0744851
200,layer/block1.mlp,rel_delta,200,0.049132,0.0519149
200,layer/block2,rel_delta,200,0.0145567,0.0147822
200,layer/block2.attn,rel_delta,200,0.0488401,0.0518852
200,layer/block2.mlp,rel_delta,200,0.0354498,0.0376982
200,layer/block3,rel_delta,200,0.000274561,0.000366642
200,layer/block3.attn,rel_delta,200,0.0270656,0.0307018
200,layer/block3.mlp,rel_delta,200,0.000767432,0.000998737
200,layer/head,rel_delta,200,0.268471,0.451229
200,layer/patch_embed,rel_delta,200,0.042373,0.0443669
200,"matmul_(256, 10)",a_rel_move,200,0.000274587,0.00036664
200,"matmul_(256, 10)",t_max,200,0.915916,0.999991
200,"matmul_(256, 10)",t_mean,200,0.0901499,0.114586
200,"matmul_(256, 10)",t_sat,200,0.0606523,0.132031
200,"matmul_(256, 10)",z_norm,200,258.195,498.29
200,"matmul_(256, 64, 128)",a_rel_move,4200,7.07098e-05,0.000326576
200,"matmul_(256, 64, 128)",t_max,4200,0.0521081,0.509095
200,"matmul_(256, 64, 128)",t_mean,4200,0.00312637,0.00975982
200,"matmul_(256, 64, 128)",t_sat,4200,6.81196e-09,9.53674e-07
200,"matmul_(256, 64, 128)",z_norm,4200,1370.71,2176.34
200,"matmul_(256, 64, 512)",a_rel_move,800,1.51372e-05,1.75141e-05
200,"matmul_(256, 64, 512)",t_max,800,0.0390463,0.502594
200,"matmul_(256, 64, 512)",t_mean,800,0.00124524,0.00145125
200,"matmul_(256, 64, 512)",t_sat,800,3.27826e-09,1.19209e-07
200,"matmul_(256, 64, 512)",z_norm,800,3011.32,3508.73
200,"matmul_pw_(256, 16, 64, 64)",a_rel_move,800,0.0018474,0.00194914
200,"matmul_pw_(256, 16, 64, 64)",t_max,800,0.509111,0.515932
200,"matmul_pw_(256, 16, 64, 64)",t_mean,800,0.00154633,0.00164138
200,"matmul_pw_(256, 16, 64, 64)",t_sat,800,0.000293628,0.000322521
200,"matmul_pw_(256, 16, 64, 64)",z_norm,800,4165.57,4515.89
200,"matmul_pw_(256, 16, 64, 8)",a_rel_move,800,0.0229972,0.0249822
200,"matmul_pw_(256, 16, 64, 8)",t_max,800,0.513008,0.937496
200,"matmul_pw_(256, 16, 64, 8)",t_mean,800,0.000718629,0.000902912
200,"matmul_pw_(256, 16, 64, 8)",t_sat,800,0.000118123,0.000169754
200,"matmul_pw_(256, 16, 64, 8)",z_norm,800,873.922,1197.9
200,rmsnorm,rel_delta,1600,0.00267238,0.00455338
200,rmsnorm,sigma_flip,1600,0,0
200,softmax,clamp_frac,800,5.73563e-05,0.000299811
200,softmax,max_logit_disp,800,3.01,3.12325
200,softmax,mean_logit_disp,800,0.0258847,0.0361341
200,softmax,z_min,800,-0.000617378,-0.000245959
100,layer/block0,rel_delta,100,0.0332135,0.0342021
100,layer/block0.attn,rel_delta,100,0.0854226,0.0887317
100,layer/block0.mlp,rel_delta,100,0.0695463,0.0721504
100,layer/block1,rel_delta,100,0.02317,0.0233678
100,layer/block1.attn,rel_delta,100,0.0657251,0.0679478
100,layer/block1.mlp,rel_delta,100,0.0521925,0.0530033
100,layer/block2,rel_delta,100,0.0146356,0.0147919
100,layer/block2.attn,rel_delta,100,0.0482768,0.0503178
100,layer/block2.mlp,rel_delta,100,0.0374682,0.0382255
100,layer/block3,rel_delta,100,0.00029245,0.000366173
100,layer/block3.attn,rel_delta,100,0.0261632,0.0283588
100,layer/block3.mlp,rel_delta,100,0.00083454,0.00100071
100,layer/head,rel_delta,100,0.378493,0.443809
100,layer/patch_embed,rel_delta,100,0.0437083,0.0462246
100,"matmul_(256, 10)",a_rel_move,100,0.000292463,0.00036617
100,"matmul_(256, 10)",t_max,100,0.958056,1.13745
100,"matmul_(256, 10)",t_mean,100,0.0966922,0.11458
100,"matmul_(256, 10)",t_sat,100,0.0739805,0.132031
100,"matmul_(256, 10)",z_norm,100,168.364,210.537
100,"matmul_(256, 64, 128)",a_rel_move,2100,7.02605e-05,0.000325627
100,"matmul_(256, 64, 128)",t_max,2100,0.168265,5.66128
100,"matmul_(256, 64, 128)",t_mean,2100,0.00325939,0.0105256
100,"matmul_(256, 64, 128)",t_sat,2100,3.40598e-08,1.43051e-06
100,"matmul_(256, 64, 128)",z_norm,2100,1418.74,2193.29
100,"matmul_(256, 64, 512)",a_rel_move,400,1.57115e-05,2.215e-05
100,"matmul_(256, 64, 512)",t_max,400,0.337417,2.82961
100,"matmul_(256, 64, 512)",t_mean,400,0.00128434,0.00140703
100,"matmul_(256, 64, 512)",t_sat,400,2.02656e-08,2.38419e-07
100,"matmul_(256, 64, 512)",z_norm,400,2994.73,3387.1
100,"matmul_pw_(256, 16, 64, 64)",a_rel_move,400,0.00183788,0.00189212
100,"matmul_pw_(256, 16, 64, 64)",t_max,400,0.508533,0.512944
100,"matmul_pw_(256, 16, 64, 64)",t_mean,400,0.00153712,0.00158902
100,"matmul_pw_(256, 16, 64, 64)",t_sat,400,0.000292363,0.000313222
100,"matmul_pw_(256, 16, 64, 64)",z_norm,400,4123.17,4312.25
100,"matmul_pw_(256, 16, 64, 8)",a_rel_move,400,0.00431653,0.00546492
100,"matmul_pw_(256, 16, 64, 8)",t_max,400,0.0160017,0.016315
100,"matmul_pw_(256, 16, 64, 8)",t_mean,400,8.72322e-05,0.000104858
100,"matmul_pw_(256, 16, 64, 8)",t_sat,400,0,0
100,"matmul_pw_(256, 16, 64, 8)",z_norm,400,947.131,1245.44
100,rmsnorm,rel_delta,800,0.00267853,0.00454573
100,rmsnorm,sigma_flip,800,0,0
100,softmax,clamp_frac,400,3.13024e-05,0.000128329
100,softmax,max_logit_disp,400,3.00385,3.0698
100,softmax,mean_logit_disp,400,0.0255947,0.0316662
100,softmax,z_min,400,-0.000582143,-0.00032481
200,layer/block0,rel_delta,100,0.0350836,0.0361143
200,layer/block0.attn,rel_delta,100,0.0888658,0.0926497
200,layer/block0.mlp,rel_delta,100,0.0732043,0.0749637
200,layer/block1,rel_delta,100,0.0234488,0.023604
200,layer/block1.attn,rel_delta,100,0.0681426,0.0704167
200,layer/block1.mlp,rel_delta,100,0.0528625,0.0536532
200,layer/block2,rel_delta,100,0.0145208,0.0145939
200,layer/block2.attn,rel_delta,100,0.0511098,0.0533526
200,layer/block2.mlp,rel_delta,100,0.0380515,0.0387769
200,layer/block3,rel_delta,100,0.000248643,0.000280619
200,layer/block3.attn,rel_delta,100,0.0300994,0.0321126
200,layer/block3.mlp,rel_delta,100,0.00074211,0.000836857
200,layer/head,rel_delta,100,0.189557,0.275709
200,layer/patch_embed,rel_delta,100,0.0487227,0.0516818
200,"matmul_(256, 10)",a_rel_move,100,0.000248689,0.000280649
200,"matmul_(256, 10)",t_max,100,0.982972,1.25063
200,"matmul_(256, 10)",t_mean,100,0.0918988,0.10126
200,"matmul_(256, 10)",t_sat,100,0.0700469,0.0847656
200,"matmul_(256, 10)",z_norm,100,311.957,440.329
200,"matmul_(256, 64, 128)",a_rel_move,2100,7.14307e-05,0.000332499
200,"matmul_(256, 64, 128)",t_max,2100,0.150507,8.01163
200,"matmul_(256, 64, 128)",t_mean,2100,0.0033473,0.0111948
200,"matmul_(256, 64, 128)",t_sat,2100,2.36148e-08,9.53674e-07
200,"matmul_(256, 64, 128)",z_norm,2100,1510.57,2261.76
200,"matmul_(256, 64, 512)",a_rel_move,400,1.58815e-05,2.17949e-05
200,"matmul_(256, 64, 512)",t_max,400,0.327775,2.831
200,"matmul_(256, 64, 512)",t_mean,400,0.00134136,0.00156517
200,"matmul_(256, 64, 512)",t_sat,400,1.93715e-08,2.38419e-07
200,"matmul_(256, 64, 512)",z_norm,400,3211.14,3659.15
200,"matmul_pw_(256, 16, 64, 64)",a_rel_move,400,0.00183632,0.00190603
200,"matmul_pw_(256, 16, 64, 64)",t_max,400,0.509667,0.515434
200,"matmul_pw_(256, 16, 64, 64)",t_mean,400,0.00155076,0.00161105
200,"matmul_pw_(256, 16, 64, 64)",t_sat,400,0.000289029,0.000313461
200,"matmul_pw_(256, 16, 64, 64)",z_norm,400,4243.77,4553.22
200,"matmul_pw_(256, 16, 64, 8)",a_rel_move,400,0.0047409,0.00593883
