Precision,bits,p,Step,Error,TrainAcc,ValAcc,StepTime,WallTime
int32 p=32,32,32,62,0.11212928593158722,0.53125,0.3671875,0.005387791956309229,1.2426880214479752
int32 p=32,32,32,63,0.10820641368627548,0.5,0.376953125,0.005418198008555919,1.248106219456531
int32 p=32,32,32,64,0.11441846936941147,0.578125,0.333984375,0.005542535975109786,1.253648755431641
int32 p=32,32,32,65,0.11209143698215485,0.546875,0.361328125,0.005472029035445303,1.2591207844670862
int32 p=32,32,32,66,0.11449303478002548,0.53125,0.35546875,0.005398747976869345,1.2645195324439555
int32 p=32,32,32,67,0.11396169662475586,0.453125,0.365234375,0.005424447008408606,1.2699439794523641
int32 p=32,32,32,68,0.11574126780033112,0.421875,0.37109375,0.0054261600016616285,1.2753701394540258
int32 p=32,32,32,69,0.12396319210529327,0.359375,0.294921875,0.005495874967891723,1.2808660144219175
int32 p=32,32,32,70,0.11844255775213242,0.46875,0.28515625,0.00535995903192088,1.2862259734538384
int32 p=32,32,32,71,0.11579058319330215,0.421875,0.30078125,0.005497098027262837,1.2917230714811012
int32 p=32,32,32,72,0.12366516888141632,0.4375,0.337890625,0.0055048479698598385,1.297227919450961
int32 p=32,32,32,73,0.12012694031000137,0.46875,0.326171875,0.005401722970418632,1.3026296424213797
int32 p=32,32,32,74,0.11751475185155869,0.484375,0.326171875,0.005397435976192355,1.308027078397572
int32 p=32,32,32,75,0.11632891744375229,0.4375,0.322265625,0.0053763550240546465,1.3134034334216267
int32 p=32,32,32,76,0.11559911072254181,0.515625,0.337890625,0.0054184990003705025,1.3188219324219972
int32 p=32,32,32,77,0.12081442028284073,0.4375,0.34375,0.00534921302460134,1.3241711454465985
int32 p=32,32,32,78,0.11981494724750519,0.359375,0.314453125,0.005354020977392793,1.3295251664239913
int32 p=32,32,32,79,0.1136462464928627,0.484375,0.38671875,0.005333019013050944,1.3348581854370423
int32 p=32,32,32,80,0.10974090546369553,0.515625,0.369140625,0.0053836660226807,1.340241851459723
int32 p=32,32,32,81,0.1188892349600792,0.46875,0.310546875,0.0054429349838756025,1.3456847864435986
int32 p=32,32,32,82,0.10067939758300781,0.546875,0.310546875,0.005381893017329276,1.3510666794609278
int32 p=32,32,32,83,0.12353786081075668,0.328125,0.296875,0.005456265003886074,1.356522944464814
int32 p=32,32,32,84,0.1208188533782959,0.390625,0.33203125,0.0054438760271295905,1.3619668204919435
int32 p=32,32,32,85,0.10974661260843277,0.5625,0.34375,0.005431457015220076,1.3673982775071636
int32 p=32,32,32,86,0.11732703447341919,0.40625,0.3125,0.005331607011612505,1.372729884518776
int32 p=32,32,32,87,0.11570427566766739,0.421875,0.318359375,0.005407572025433183,1.3781374565442093
int32 p=32,32,32,88,0.12489435821771622,0.328125,0.3046875,0.005483496992383152,1.3836209535365924
int32 p=32,32,32,89,0.12352869659662247,0.40625,0.3046875,0.0053490729769691825,1.3889700265135616
int32 p=32,32,32,90,0.12222933769226074,0.359375,0.26171875,0.005349263024982065,1.3943192895385437
int32 p=32,32,32,91,0.10833419859409332,0.5,0.2734375,0.005478458013385534,1.3997977475519292
int32 p=32,32,32,92,0.12032414972782135,0.4375,0.275390625,0.005352048028726131,1.4051497955806553
int32 p=32,32,32,93,0.12360407412052155,0.359375,0.291015625,0.0054345629760064185,1.4105843585566618
int32 p=32,32,32,94,0.11811204999685287,0.40625,0.298828125,0.005426841031294316,1.416011199587956
int32 p=32,32,32,95,0.11833506077528,0.40625,0.3125,0.005540171987377107,1.4215513715753332
int32 p=32,32,32,96,0.12535294890403748,0.34375,0.3125,0.005387240962591022,1.4269386125379242
int32 p=32,32,32,97,0.1169765517115593,0.421875,0.341796875,0.0053784080082550645,1.4323170205461793
int32 p=32,32,32,98,0.12713585793972015,0.359375,0.28125,0.005373680032789707,1.437690700578969
int32 p=32,32,32,99,0.12683351337909698,0.34375,0.212890625,0.005437216022983193,1.4431279166019522
int32 p=32,32,32,100,0.1212555542588234,0.421875,0.212890625,0.005475273996125907,1.448603190598078
int32 p=32,32,32,101,0.11900194734334946,0.515625,0.265625,0.005392439023125917,1.453995629621204
int32 p=32,32,32,102,0.12447966635227203,0.328125,0.275390625,0.005418938992079347,1.4594145686132833
int32 p=32,32,32,103,0.11579566448926926,0.46875,0.306640625,0.005406690004747361,1.4648212586180307
int32 p=32,32,32,104,0.11723490059375763,0.515625,0.3046875,0.005313539004418999,1.4701347976224497
int32 p=32,32,32,105,0.11281280964612961,0.53125,0.314453125,0.005424597999081016,1.4755593956215307
int32 p=32,32,32,106,0.11694800853729248,0.4375,0.3203125,0.00539815699448809,1.4809575526160188
int32 p=32,32,32,107,0.11766808480024338,0.484375,0.326171875,0.00531797599978745,1.4862755286158063
int32 p=32,32,32,108,0.1276346892118454,0.40625,0.328125,0.005378568021114916,1.4916540966369212
int32 p=32,32,32,109,0.11944134533405304,0.453125,0.3203125,0.005316134018357843,1.496970230655279
int32 p=32,32,32,110,0.11561083793640137,0.46875,0.296875,0.005347590951714665,1.5023178216069937
int32 p=32,32,32,111,0.12007758766412735,0.4375,0.263671875,0.005340759991668165,1.5076585815986618
int32 p=32,32,32,112,0.12430689483880997,0.390625,0.28515625,0.005413211008999497,1.5130717926076613
int32 p=32,32,32,113,0.12563784420490265,0.359375,0.306640625,0.005322863988112658,1.518394656595774
int32 p=32,32,32,114,0.1204569935798645,0.359375,0.33203125,0.005387841956689954,1.523782498552464
int32 p=32,32,32,115,0.11783130466938019,0.390625,0.3203125,0.0054149930365383625,1.5291974915890023
int32 p=32,32,32,116,0.12352698296308517,0.25,0.28125,0.00541281996993348,1.5346103115589358
int32 p=32,32,32,117,0.11566734313964844,0.53125,0.275390625,0.005373600986786187,1.539983912545722
int32 p=32,32,32,118,0.11744048446416855,0.359375,0.30859375,0.005405207979492843,1.5453891205252148
int32 p=32,32,32,119,0.11867701262235641,0.359375,0.2890625,0.005373920954298228,1.550763041479513
int8 p=16,8,16,0,0.1000000610947609,0.078125,0.0859375,0.09171725902706385,0.09171725902706385
int8 p=16,8,16,1,0.10000016540288925,0.046875,0.087890625,0.003941786999348551,0.0956590460264124
int8 p=16,8,16,2,0.10000014305114746,0.109375,0.08203125,0.003924982040189207,0.0995840280666016
int8 p=16,8,16,3,0.10000045597553253,0.046875,0.08203125,0.0039334140019491315,0.10351744206855074
int8 p=16,8,16,4,0.10000007599592209,0.078125,0.095703125,0.003910169005393982,0.10742761107394472
int8 p=16,8,16,5,0.10000016540288925,0.125,0.1015625,0.0039052419597283006,0.11133285303367302
int8 p=16,8,16,6,0.10000119358301163,0.09375,0.103515625,0.003934304986614734,0.11526715802028775
int8 p=16,8,16,7,0.10000164806842804,0.015625,0.107421875,0.003912661981303245,0.119179820001591
int8 p=16,8,16,8,0.100000761449337,0.125,0.1015625,0.003943269024603069,0.12312308902619407
int8 p=16,8,16,9,0.09999968856573105,0.15625,0.09765625,0.003896659007295966,0.12701974803349003
int8 p=16,8,16,10,0.1000007763504982,0.15625,0.1015625,0.003917791007552296,0.13093753904104233
int8 p=16,8,16,11,0.10000012069940567,0.09375,0.09765625,0.003910709987394512,0.13484824902843684
int8 p=16,8,16,12,0.10000069439411163,0.078125,0.099609375,0.003914605011232197,0.13876285403966904
int8 p=16,8,16,13,0.10000033676624298,0.140625,0.1015625,0.0039197030127979815,0.14268255705246702
int8 p=16,8,16,14,0.10000087320804596,0.078125,0.099609375,0.003913143009413034,0.14659570006188005
int8 p=16,8,16,15,0.10000081360340118,0.078125,0.09765625,0.0038926220149733126,0.15048832207685336
int8 p=16,8,16,16,0.10000055283308029,0.09375,0.1015625,0.003909868013579398,0.15439819009043276
int8 p=16,8,16,17,0.10000055283308029,0.078125,0.103515625,0.0039055419620126486,0.1583037320524454
int8 p=16,8,16,18,0.10000145435333252,0.15625,0.1015625,0.003893703978974372,0.16219743603141978
int8 p=16,8,16,19,0.10000033676624298,0.109375,0.1015625,0.003909708000719547,0.16610714403213933
int8 p=16,8,16,20,0.10000064224004745,0.09375,0.10546875,0.0039018759853206575,0.17000902001746
int8 p=16,8,16,21,0.10000083595514297,0.140625,0.103515625,0.003917319991160184,0.17392634000862017
int8 p=16,8,16,22,0.10000007599592209,0.109375,0.1015625,0.003915717010386288,0.17784205701900646
int8 p=16,8,16,23,0.09999988973140717,0.109375,0.09765625,0.003916428948286921,0.18175848596729338
int8 p=16,8,16,24,0.10000208765268326,0.0625,0.099609375,0.003913243999704719,0.1856717299669981
int8 p=16,8,16,25,0.10000176727771759,0.03125,0.09765625,0.00392139598261565,0.18959312594961375
int8 p=16,8,16,26,0.10000115633010864,0.078125,0.09765625,0.003908846992999315,0.19350197294261307
int8 p=16,8,16,27,0.10000093281269073,0.109375,0.09765625,0.003910758998245001,0.19741273194085807
int8 p=16,8,16,28,0.10000115633010864,0.0625,0.09765625,0.003917180001735687,0.20132991194259375
int8 p=16,8,16,29,0.1000012680888176,0.09375,0.09765625,0.003907875972799957,0.2052377879153937
int8 p=16,8,16,30,0.10000288486480713,0.078125,0.09765625,0.003927765996195376,0.20916555391158909
int8 p=16,8,16,31,0.10000139474868774,0.140625,0.099609375,0.003931451006792486,0.21309700491838157
int8 p=16,8,16,32,0.1000019907951355,0.0625,0.09765625,0.0039063940057531,0.21700339892413467
int8 p=16,8,16,33,0.1000015065073967,0.109375,0.099609375,0.003917751018889248,0.22092114994302392
int8 p=16,8,16,34,0.10000081360340118,0.078125,0.099609375,0.003912422980647534,0.22483357292367145
int8 p=16,8,16,35,0.10000055283308029,0.03125,0.099609375,0.003908276034053415,0.22874184895772487
int8 p=16,8,16,36,0.1000005230307579,0.109375,0.09765625,0.0038538940134458244,0.2325957429711707
int8 p=16,8,16,37,0.10000135749578476,0.15625,0.099609375,0.003896328038536012,0.2364920710097067
int8 p=16,8,16,38,0.10000040382146835,0.109375,0.099609375,0.003893362998496741,0.24038543400820345
int8 p=16,8,16,39,0.10000111907720566,0.140625,0.099609375,0.003865570994094014,0.24425100500229746
int8 p=16,8,16,40,0.10000262409448624,0.078125,0.099609375,0.003881035023368895,0.24813204002566636
int8 p=16,8,16,41,0.100000761449337,0.109375,0.099609375,0.0038718109717592597,0.2520038509974256
int8 p=16,8,16,42,0.10000033676624298,0.078125,0.099609375,0.003894094959832728,0.25589794595725834
int8 p=16,8,16,43,0.10000023990869522,0.078125,0.099609375,0.003871809982229024,0.25976975593948737
int8 p=16,8,16,44,0.09999985247850418,0.078125,0.099609375,0.0038764679920859635,0.26364622393157333
int8 p=16,8,16,45,0.10000026226043701,0.15625,0.103515625,0.0038728329818695784,0.2675190569134429
int8 p=16,8,16,46,0.10000117868185043,0.0625,0.103515625,0.0038709199870936573,0.27138997690053657
int8 p=16,8,16,47,0.10000056028366089,0.078125,0.103515625,0.0038790719700045884,0.27526904887054116
int8 p=16,8,16,48,0.10000013560056686,0.0625,0.10546875,0.00388601201120764,0.2791550608817488
int8 p=16,8,16,49,0.10000065714120865,0.109375,0.10546875,0.00388206698698923,0.283037127868738
int8 p=16,8,16,50,0.10000095516443253,0.1875,0.10546875,0.003888937004376203,0.28692606487311423
int8 p=16,8,16,51,0.10000105202198029,0.125,0.103515625,0.003955045947805047,0.2908811108209193
int8 p=16,8,16,52,0.10000120848417282,0.078125,0.103515625,0.003987275005783886,0.29486838582670316
int8 p=16,8,16,53,0.10000158846378326,0.046875,0.1015625,0.003884430043399334,0.2987528158701025
int8 p=16,8,16,54,0.10000115633010864,0.171875,0.099609375,0.003888345032464713,0.3026411609025672
int8 p=16,8,16,55,0.10000029951334,0.140625,0.1015625,0.0038647999754175544,0.30650596087798476
int8 p=16,8,16,56,0.1000012755393982,0.140625,0.1015625,0.003869417996611446,0.3103753788745962
int8 p=16,8,16,57,0.10000105947256088,0.046875,0.099609375,0.003884739999193698,0.3142601188737899
int8 p=16,8,16,58,0.10000123828649521,0.046875,0.09765625,0.003908946993760765,0.31816906586755067
int8 p=16,8,16,59,0.10000132769346237,0.0,0.09765625,0.003899231960531324,0.322068297828082
int8 p=16,8,16,60,0.10000152885913849,0.078125,0.095703125,0.003898371011018753,0.32596666883910075
int8 p=16,8,16,61,0.10000117123126984,0.09375,0.09765625,0.003910308994818479,0.3298769778339192
int8 p=16,8,16,62,0.10000091791152954,0.140625,0.095703125,0.003913172986358404,0.33379015082027763
int8 p=16,8,16,63,0.10000088065862656,0.0625,0.103515625,0.003884489997290075,0.3376746408175677
int8 p=16,8,16,64,0.10000103712081909,0.1875,0.099609375,0.003900204028468579,0.3415748448460363
int8 p=16,8,16,65,0.10000070184469223,0.109375,0.1015625,0.003886343038175255,0.34546118788421154
int8 p=16,8,16,66,0.1000017449259758,0.078125,0.1015625,0.0038764080381952226,0.34933759592240676
int8 p=16,8,16,67,0.10000061988830566,0.078125,0.1015625,0.0038712199893780053,0.35320881591178477
int8 p=16,8,16,68,0.10000041872262955,0.09375,0.1015625,0.003860633005388081,0.35706944891717285
int8 p=16,8,16,69,0.10000162571668625,0.03125,0.099609375,0.003888876992277801,0.36095832590945065
int8 p=16,8,16,70,0.10000121593475342,0.140625,0.099609375,0.003882897028233856,0.3648412229376845
int8 p=16,8,16,71,0.10000016540288925,0.09375,0.09765625,0.0038704489707015455,0.36871167190838605
int8 p=16,8,16,72,0.10000061243772507,0.125,0.09765625,0.003868045983836055,0.3725797178922221
int8 p=16,8,16,73,0.10000041872262955,0.09375,0.09765625,0.003874444984830916,0.376454162877053
int8 p=16,8,16,74,0.10000200569629669,0.078125,0.09765625,0.00387820100877434,0.38033236388582736
int8 p=16,8,16,75,0.10000071674585342,0.140625,0.09765625,0.0039092780207283795,0.38424164190655574
int8 p=16,8,16,76,0.10000133514404297,0.109375,0.09765625,0.0038992519839666784,0.3881408938905224
int8 p=16,8,16,77,0.10000111162662506,0.0625,0.09765625,0.00391033902997151,0.39205123292049393
int8 p=16,8,16,78,0.10000071674585342,0.15625,0.095703125,0.003888236009515822,0.39593946893000975
int8 p=16,8,16,79,0.10000131279230118,0.0625,0.09375,0.0038850310374982655,0.399824499967508
int8 p=16,8,16,80,0.10000114887952805,0.078125,0.095703125,0.003859962977003306,0.4036844629445113
int8 p=16,8,16,81,0.10000159591436386,0.140625,0.091796875,0.0038761370233260095,0.40756059996783733
int8 p=16,8,16,82,0.10000115633010864,0.15625,0.091796875,0.00388013303745538,0.4114407330052927
int8 p=16,8,16,83,0.10000082105398178,0.0625,0.095703125,0.0038719710428267717,0.4153127040481195
int8 p=16,8,16,84,0.0999998226761818,0.109375,0.091796875,0.003890449006576091,0.4192031530546956
int8 p=16,8,16,85,0.10000242292881012,0.046875,0.091796875,0.0038752660038881004,0.4230784190585837
int8 p=16,8,16,86,0.10000085830688477,0.125,0.09375,0.003877348965033889,0.42695576802361757
int8 p=16,8,16,87,0.10000038146972656,0.15625,0.095703125,0.0038988720043562353,0.4308546400279738
int8 p=16,8,16,88,0.10000083595514297,0.078125,0.09765625,0.003881895972881466,0.43473653600085527
int8 p=16,8,16,89,0.10000213235616684,0.046875,0.09765625,0.0038683550083078444,0.4386048910091631
int8 p=16,8,16,90,0.10000025480985641,0.109375,0.095703125,0.003892602981068194,0.4424974939902313
int8 p=16,8,16,91,0.10000081360340118,0.125,0.09765625,0.003885070967953652,0.44638256495818496
int8 p=16,8,16,92,0.10000038146972656,0.15625,0.09765625,0.0038772489642724395,0.4502598139224574
int8 p=16,8,16,93,0.09999964386224747,0.171875,0.09765625,0.003885963000357151,0.45414577692281455
int8 p=16,8,16,94,0.10000145435333252,0.0625,0.095703125,0.0038766880170442164,0.45802246493985876
int8 p=16,8,16,95,0.10000071674585342,0.09375,0.095703125,0.003887904982548207,0.46191036992240697
int8 p=16,8,16,96,0.10000083595514297,0.15625,0.095703125,0.003902186988852918,0.4658125569112599
int8 p=16,8,16,97,0.10000163316726685,0.046875,0.095703125,0.00388974801171571,0.4697023049229756
int8 p=16,8,16,98,0.10000046342611313,0.09375,0.095703125,0.003892762993928045,0.47359506791690364
int8 p=16,8,16,99,0.10000286251306534,0.03125,0.095703125,0.0038798130117356777,0.4774748809286393
int8 p=16,8,16,100,0.10000121593475342,0.0625,0.09375,0.003882506978698075,0.4813573879073374
int8 p=16,8,16,101,0.10000196844339371,0.09375,0.095703125,0.0038848809781484306,0.48524226888548583
int8 p=16,8,16,102,0.10000064224004745,0.125,0.095703125,0.003892582026310265,0.4891348509117961
int8 p=16,8,16,103,0.10000087320804596,0.078125,0.095703125,0.003882046032231301,0.4930168969440274
int8 p=16,8,16,104,0.10000046342611313,0.109375,0.095703125,0.003893432964105159,0.49691032990813255
int8 p=16,8,16,105,0.10000183433294296,0.0625,0.09765625,0.003883298020809889,0.5007936279289424
int8 p=16,8,16,106,0.1000005230307579,0.125,0.09765625,0.003884701000060886,0.5046783289290033
int8 p=16,8,16,107,0.10000135749578476,0.125,0.09765625,0.0038857320323586464,0.508564060961362
int8 p=16,8,16,108,0.10000171512365341,0.125,0.09765625,0.0038815049920231104,0.5124455659533851
int8 p=16,8,16,109,0.10000206530094147,0.140625,0.09765625,0.003879853989928961,0.516325419943314
int8 p=16,8,16,110,0.10000123828649521,0.078125,0.09765625,0.0038789319805800915,0.5202043519238941
int8 p=16,8,16,111,0.10000193119049072,0.125,0.095703125,0.0038750660023652017,0.5240794179262593
int8 p=16,8,16,112,0.10000041872262955,0.125,0.095703125,0.0038853110163472593,0.5279647289426066
int8 p=16,8,16,113,0.10000064224004745,0.140625,0.09765625,0.00388327898690477,0.5318480079295114
int8 p=16,8,16,114,0.10000057518482208,0.09375,0.095703125,0.003895106026902795,0.5357431139564142
int8 p=16,8,16,115,0.10000167042016983,0.046875,0.095703125,0.003880104050040245,0.5396232180064544
int8 p=16,8,16,116,0.10000171512365341,0.125,0.095703125,0.0038828369579277933,0.5435060549643822
int8 p=16,8,16,117,0.10000032186508179,0.046875,0.095703125,0.0038882559747435153,0.5473943109391257
int8 p=16,8,16,118,0.10000073909759521,0.046875,0.09765625,0.003877759038005024,0.5512720699771307
int8 p=16,8,16,119,0.10000121593475342,0.046875,0.09765625,0.003876027010846883,0.5551480969879776
int16 p=16,16,16,0,0.08296330273151398,0.625,0.3671875,0.09084001299925148,0.09084001299925148
int16 p=16,16,16,1,0.0767962709069252,0.765625,0.57421875,0.0038805739604867995,0.09472058695973828
int16 p=16,16,16,2,0.07092826813459396,0.8125,0.54296875,0.0038817949825897813,0.09860238194232807
int16 p=16,16,16,3,0.06925898790359497,0.828125,0.568359375,0.003863929014187306,0.10246631095651537
int16 p=16,16,16,4,0.0690564438700676,0.78125,0.6328125,0.0038837080355733633,0.10635001899208874
int16 p=16,16,16,5,0.06961163133382797,0.78125,0.572265625,0.003871200024150312,0.11022121901623905
int16 p=16,16,16,6,0.07077734917402267,0.796875,0.55078125,0.0038522310205735266,0.11407345003681257
int16 p=16,16,16,7,0.08428806066513062,0.5625,0.533203125,0.0038557060179300606,0.11792915605474263
int16 p=16,16,16,8,0.08575019240379333,0.640625,0.513671875,0.0038367679808288813,0.12176592403557152
int16 p=16,16,16,9,0.0899466797709465,0.65625,0.44921875,0.0038472330197691917,0.1256131570553407
int16 p=16,16,16,10,0.09562036395072937,0.671875,0.43359375,0.003854473994579166,0.12946763104991987
int16 p=16,16,16,11,0.09934742748737335,0.578125,0.451171875,0.0038534729974344373,0.1333211040473543
int16 p=16,16,16,12,0.10543102025985718,0.609375,0.400390625,0.0038393419818021357,0.13716044602915645
int16 p=16,16,16,13,0.10698159039020538,0.734375,0.44140625,0.0038581700064241886,0.14101861603558064
int16 p=16,16,16,14,0.1054261326789856,0.65625,0.400390625,0.003845680970698595,0.14486429700627923
int16 p=16,16,16,15,0.11011587828397751,0.546875,0.4609375,0.003874604997690767,0.14873890200397
int16 p=16,16,16,16,0.10876563936471939,0.65625,0.41796875,0.0038608749746344984,0.1525997769786045
int16 p=16,16,16,17,0.11930495500564575,0.53125,0.4140625,0.003882446966599673,0.15648222394520417
int16 p=16,16,16,18,0.11017187684774399,0.625,0.3828125,0.0038338529993779957,0.16031607694458216
int16 p=16,16,16,19,0.11378451436758041,0.65625,0.404296875,0.003854013979434967,0.16417009092401713
int16 p=16,16,16,20,0.12175407260656357,0.5,0.359375,0.003840012999717146,0.16801010392373428
int16 p=16,16,16,21,0.10877058655023575,0.625,0.375,0.0038227170007303357,0.1718328209244646
int16 p=16,16,16,22,0.12205956131219864,0.515625,0.384765625,0.0038295069825835526,0.17566232790704817
int16 p=16,16,16,23,0.11730996519327164,0.640625,0.41796875,0.003832151007372886,0.17949447891442105
int16 p=16,16,16,24,0.11286375671625137,0.578125,0.38671875,0.003842496022116393,0.18333697493653744
int16 p=16,16,16,25,0.11683707684278488,0.484375,0.36328125,0.003842316975351423,0.18717929191188887
int16 p=16,16,16,26,0.12103517353534698,0.46875,0.359375,0.0038597729871980846,0.19103906489908695
int16 p=16,16,16,27,0.12535209953784943,0.46875,0.400390625,0.0038438490009866655,0.19488291390007362
int16 p=16,16,16,28,0.10719209164381027,0.65625,0.396484375,0.0038504090043716133,0.19873332290444523
int16 p=16,16,16,29,0.12060736864805222,0.5625,0.41015625,0.0038576689548790455,0.20259099185932428
int16 p=16,16,16,30,0.11314862221479416,0.609375,0.365234375,0.003847904969006777,0.20643889682833105
int16 p=16,16,16,31,0.10902879387140274,0.640625,0.400390625,0.003850538982078433,0.2102894358104095
