"Step","framework: torch - val/val_acc","framework: torch - val/val_acc__MIN","framework: torch - val/val_acc__MAX","framework: pjax_orrfinal - val/val_acc","framework: pjax_orrfinal - val/val_acc__MIN","framework: pjax_orrfinal - val/val_acc__MAX","framework: ptorch_final_final - val/val_acc","framework: ptorch_final_final - val/val_acc__MIN","framework: ptorch_final_final - val/val_acc__MAX","framework: pjax_orr - val/val_acc","framework: pjax_orr - val/val_acc__MIN","framework: pjax_orr - val/val_acc__MAX"
"0","0.10289999594291051","0.09879999607801437","0.10499999672174454","0.10146666566530864","0.09380000084638596","0.10819999873638153","0.11881666506330173","0.09549999982118607","0.14090000092983246","0.10139999787012736","0.09380000084638596","0.10799999535083771"
"200","0.3045666615168254","0.29019999504089355","0.31360000371932983","0.2656666586796443","0.24049998819828033","0.2856000065803528","0.2683499952157338","0.24199999868869781","0.3050000071525574","0.26623332997163135","0.2401999980211258","0.28349998593330383"
"400","0.31963332494099933","0.2921999990940094","0.3358999788761139","0.27166666587193805","0.2621999979019165","0.2768000066280365","0.3247166574001312","0.3043999969959259","0.34209999442100525","0.274399995803833","0.26809999346733093","0.2782999873161316"
"600","0.34086665511131287","0.3326999843120575","0.3495999872684479","0.29586665829022724","0.2840999960899353","0.30559998750686646","0.35609998802344006","0.3414999842643738","0.3730999827384949","0.29730000098546344","0.2856000065803528","0.30489999055862427"
"800","0.35563332835833233","0.3427000045776367","0.36959999799728394","0.27399999896685284","0.25380000472068787","0.2895999848842621","0.37006665766239166","0.35510000586509705","0.3869999945163727","0.28083333373069763","0.26330000162124634","0.2987000048160553"
"1000","0.3528333206971486","0.33789998292922974","0.37539997696876526","0.3010999957720439","0.2870999872684479","0.31209999322891235","0.3847999920447667","0.374099999666214","0.3944999873638153","0.3000666598478953","0.2888000011444092","0.3148999810218811"
"1200","0.35359999537467957","0.3357999920845032","0.37790000438690186","0.2892666657765706","0.28630000352859497","0.2935999929904938","0.39631665746370953","0.39249998331069946","0.40070000290870667","0.29046665628751117","0.28599998354911804","0.2929999828338623"
"1400","0.3478333254655202","0.33709999918937683","0.35409998893737793","0.2872999906539917","0.28209999203681946","0.29760000109672546","0.40254999200503033","0.3937000036239624","0.40789997577667236","0.2891666491826375","0.2857999801635742","0.2936999797821045"
"1600","0.35556666056315106","0.3447999954223633","0.36329999566078186","0.3131999969482422","0.29749998450279236","0.32420000433921814","0.40824999411900836","0.4027999937534332","0.41449999809265137","0.31199998656908673","0.29729998111724854","0.3238999843597412"
"1800","0.3625999887784322","0.35599997639656067","0.3684999942779541","0.3055333197116852","0.28049999475479126","0.322299987077713","0.40379999081293744","0.39010000228881836","0.41119998693466187","0.3047666549682617","0.28279998898506165","0.3244999945163727"
"2000","0.35686665773391724","0.35089999437332153","0.366599977016449","0.29466665784517926","0.28999999165534973","0.3024999797344208","0.41698331634203595","0.4098999798297882","0.4244999885559082","0.29536666472752887","0.28999999165534973","0.2987000048160553"
"2200","0.34939999381701153","0.3431999981403351","0.3537999987602234","0.3088999887307485","0.2919999957084656","0.3197999894618988","0.41664999226729077","0.4016999900341034","0.43369999527931213","0.30613332986831665","0.28769999742507935","0.319599986076355"
"2400","0.3575333257516225","0.349700003862381","0.3684999942779541","0.30416665474573773","0.30059999227523804","0.3073999881744385","0.42356665432453156","0.4120999872684479","0.43689998984336853","0.3080666661262512","0.3003000020980835","0.32109999656677246"
"2600","0.3780333201090495","0.35439997911453247","0.4041000008583069","0.29489999016125995","0.2724999785423279","0.3118000030517578","0.42206665376822156","0.4075999855995178","0.4350999891757965","0.2842666606108348","0.2590000033378601","0.30309998989105225"
"2800","0.3806999921798706","0.36739999055862427","0.4007999897003174","0.3069999913374583","0.30649998784065247","0.30789998173713684","0.4283833255370458","0.4131999909877777","0.44269999861717224","0.3041333258152008","0.29999998211860657","0.310699999332428"
"3000","0.362799992163976","0.3423999845981598","0.3840999901294708","0.3125666578610738","0.3027999997138977","0.322299987077713","0.4265499909718831","0.4056999981403351","0.446399986743927","0.3173999985059102","0.310699999332428","0.3296999931335449"
"3200","0.3923333187898","0.3870999813079834","0.4008999764919281","0.3179999887943268","0.29589998722076416","0.32909998297691345","0.42944998542467755","0.406499981880188","0.45339998602867126","0.31206666429837543","0.2897000014781952","0.3271999955177307"
"3400","0.3669666548569997","0.3483999967575073","0.384799987077713","0.31179999311765033","0.30140000581741333","0.32009997963905334","0.43014999230702716","0.4092999994754791","0.4495999813079834","0.31339999039967853","0.30869999527931213","0.3165999948978424"
"3600","0.3694999913374583","0.3633999824523926","0.3799999952316284","0.3061666587988536","0.29499998688697815","0.3172999918460846","0.4320333202679952","0.4153999984264374","0.4527999758720398","0.3065333267052968","0.3027999997138977","0.31349998712539673"
"3800","0.3985999921957652","0.3910999894142151","0.4023999869823456","0.3210333287715912","0.3197999894618988","0.32269999384880066","0.4349999924500783","0.4189999997615814","0.4519999921321869","0.3148333231608073","0.31349998712539673","0.31679999828338623"
"4000","0.37273332476615906","0.3668999969959259","0.38429999351501465","0.32099999984105426","0.3197000026702881","0.3231000006198883","0.430133322874705","0.4077000021934509","0.4544999897480011","0.32680000364780426","0.32670000195503235","0.32690000534057617"
"4200","0.37449998656908673","0.35349997878074646","0.39259999990463257","0.31839998563130695","0.3017999827861786","0.32909998297691345","0.4290499935547511","0.40299999713897705","0.44909998774528503","0.31644998490810394","0.29789999127388","0.3349999785423279"
"4400","0.38253332177797955","0.3677999973297119","0.3920999765396118","0.3168333172798157","0.29009997844696045","0.3358999788761139","0.4366833219925563","0.4147000014781952","0.4542999863624573","0.30914998054504395","0.2857999801635742","0.33249998092651367"
"4600","0.39526665210723877","0.3879999816417694","0.4027999937534332","0.3137999971707662","0.31139999628067017","0.3181000053882599","0.4393666585286458","0.41920000314712524","0.45749998092651367","0.31709998846054077","0.31689998507499695","0.3172999918460846"
"4800","0.39114999771118164","0.3903999924659729","0.3919000029563904","0.33196666836738586","0.3208000063896179","0.3418000042438507","0.44296665489673615","0.41839998960494995","0.462799996137619","0.3275499790906906","0.32349997758865356","0.33159998059272766"
"5000","0.39579997956752777","0.39159998297691345","0.3999999761581421","0.3200999895731608","0.3105999827384949","0.33809998631477356","0.43886665503184","0.4088999927043915","0.46129998564720154","0.32384999096393585","0.3122999966144562","0.3353999853134155"
"5200","0.37929999828338623","0.3603000044822693","0.3982999920845032","0.3116999963919322","0.30480000376701355","0.3181999921798706","0.43949998915195465","0.41339999437332153","0.4601999819278717","0.3024499863386154","0.2936999797821045","0.31119999289512634"
"5400","0.37904998660087585","0.3675999939441681","0.3904999792575836","0.3273666600386302","0.3262999951839447","0.32899999618530273","0.4433499922355016","0.4180999994277954","0.4693000018596649","0.32184998691082","0.32179999351501465","0.32189998030662537"
"5600","0.3854999840259552","0.384799987077713","0.3861999809741974","0.3187666634718577","0.31679999828338623","0.3206999897956848","0.43833332260449726","0.41029998660087585","0.4658999741077423","0.320700004696846","0.30390000343322754","0.3375000059604645"
"5800","0.3921999931335449","0.3903999924659729","0.39399999380111694","0.32999999324480694","0.3215000033378601","0.3342999815940857","0.4403499911228816","0.4165000021457672","0.4626999795436859","0.3359999805688858","0.3279999792575836","0.343999981880188"
"6000","0.4077000021934509","0.4077000021934509","0.4077000021934509","0.32606666286786395","0.3199999928474426","0.3303999900817871","0.43353332082430523","0.4057999849319458","0.4608999788761139","0.3283499926328659","0.3245999813079834","0.3321000039577484"
"6200","0.4188999831676483","0.4188999831676483","0.4188999831676483","0.3244333267211914","0.3084999918937683","0.3330000042915344","0.4339499920606613","0.3920999765396118","0.45989999175071716","0.326449990272522","0.3211999833583832","0.33169999718666077"
"6400","0.4180999994277954","0.4180999994277954","0.4180999994277954","0.3233333230018616","0.3041999936103821","0.34219998121261597","0.4466666529575984","0.423799991607666","0.4684999883174896","0.3407999873161316","0.3407999873161316","0.3407999873161316"
"6600","0.39319998025894165","0.39319998025894165","0.39319998025894165","0.3401999920606613","0.33159998059272766","0.34880000352859497","0.4441333164771398","0.4170999825000763","0.4649999737739563","0.3418999910354614","0.3418999910354614","0.3418999910354614"
"6800","0.4162999987602234","0.4162999987602234","0.4162999987602234","0.33374999463558197","0.3303999900817871","0.33709999918937683","0.43906665841738385","0.41349998116493225","0.46230000257492065","0.346699982881546","0.346699982881546","0.346699982881546"
"7000","0.3933999836444855","0.3933999836444855","0.3933999836444855","0.3222000002861023","0.3222000002861023","0.3222000002861023","0.4491399884223938","0.4156000018119812","0.4706999957561493","0.3310000002384186","0.3310000002384186","0.3310000002384186"
